Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,201,0,0,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,201,0,0,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,201,0,0,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,201,0,0,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,201,0,0,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,201,0,0,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,1,0,200,0.00497512437810945,0,0,1,0.995024875621891,0,0.997506234413965,0.498753117206983,0,0.497512437810945,0.498756218905473,0.5
8,0,0,51,150,0,0,0,0.746268656716418,1,0,0.854700854700855,0.427350427350427,0,0.5,0.436567164179104,0.5
9,0,0,51,150,0,0,0,0.746268656716418,1,0,0.854700854700855,0.427350427350427,0,0.5,0.436567164179104,0.5
10,0,0,51,150,0,0,0,0.746268656716418,1,0,0.854700854700855,0.427350427350427,0,0.5,0.436567164179104,0.5
11,0,0,51,150,0,0,0,0.746268656716418,1,0,0.854700854700855,0.427350427350427,0,0.5,0.436567164179104,0.5
12,0,0,51,150,0,0,0,0.746268656716418,1,0,0.854700854700855,0.427350427350427,0,0.5,0.436567164179104,0.5
13,0,0,51,150,0,0,0,0.746268656716418,1,0,0.854700854700855,0.427350427350427,0,0.5,0.436567164179104,0.5
14,13,4,38,146,0.0266666666666667,0.764705882352941,0.254901960784314,0.793478260869565,0.973333333333333,0.382352941176471,0.874251497005988,0.628302219091229,0.498100968844067,0.614117647058824,0.696604859335038,0.774183006535948
15,26,11,25,139,0.0733333333333333,0.702702702702703,0.509803921568627,0.847560975609756,0.926666666666667,0.590909090909091,0.885350318471338,0.738129704690214,0.687326924144249,0.718235294117647,0.746683566636938,0.875294117647059
16,37,19,14,131,0.126666666666667,0.660714285714286,0.725490196078431,0.903448275862069,0.873333333333333,0.691588785046729,0.888135593220339,0.789862189133534,0.795986665241215,0.799411764705882,0.79074652274703,0.905490196078431
17,43,3,8,147,0.02,0.934782608695652,0.843137254901961,0.948387096774194,0.98,0.88659793814433,0.963934426229508,0.925266182186919,0.90899643002815,0.91156862745098,0.926576740092952,0.972352941176471
18,46,14,5,136,0.0933333333333333,0.766666666666667,0.901960784313726,0.964539007092199,0.906666666666667,0.828828828828829,0.934707903780069,0.881768366304449,0.904310664416702,0.904313725490196,0.884958281184814,0.977843137254902
19,50,4,1,146,0.0266666666666667,0.925925925925926,0.980392156862745,0.993197278911565,0.973333333333333,0.952380952380952,0.983164983164983,0.967772967772968,0.976856369182835,0.976862745098039,0.968212173758392,0.997385620915033
20,49,0,2,150,0,1,0.96078431372549,0.986842105263158,1,0.98,0.993377483443709,0.986688741721854,0.980196058819607,0.980392156862745,0.986906604747162,0.989869281045752
21,49,2,2,148,0.0133333333333333,0.96078431372549,0.96078431372549,0.986666666666667,0.986666666666667,0.96078431372549,0.986666666666667,0.973725490196079,0.973639489857078,0.973725490196078,0.973725490196078,0.999084967320261
22,48,0,3,150,0,1,0.941176470588235,0.980392156862745,1,0.96969696969697,0.99009900990099,0.97989798979898,0.970142500145332,0.970588235294118,0.980392156862745,0.970588235294118
23,50,3,1,147,0.02,0.943396226415094,0.980392156862745,0.993243243243243,0.98,0.961538461538462,0.986577181208054,0.974057821373258,0.980196058819607,0.980196078431373,0.974257906630271,0.999607843137255
24,49,0,2,150,0,1,0.96078431372549,0.986842105263158,1,0.98,0.993377483443709,0.986688741721854,0.980196058819607,0.980392156862745,0.986906604747162,0.999934640522876
25,51,0,0,150,0,1,1,1,1,1,1,1,1,1,1,1
26,50,0,1,150,0,1,0.980392156862745,0.993377483443709,1,0.99009900990099,0.996677740863787,0.993388375382389,0.990147542976674,0.990196078431373,0.993442410076613,0.990196078431373
27,49,0,2,150,0,1,0.96078431372549,0.986842105263158,1,0.98,0.993377483443709,0.986688741721854,0.980196058819607,0.980392156862745,0.986906604747162,1
28,49,1,2,149,0.00666666666666667,0.98,0.96078431372549,0.986754966887417,0.993333333333333,0.97029702970297,0.990033222591362,0.980165126147166,0.976923274862115,0.977058823529412,0.98021815348656,0.989803921568628
