C_nodes_ 1,C_nodes_ 2,C_nodes_ 3,C_nodes_ 4,C_nodes_ 5,C_nodes_ 6,C_nodes_ 7,C_nodes_ 8,C_nodes_ 9,C_nodes_10,C_nodes_11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1,3,4,6,9,10,,,,,
1,2,4,5,6,7,10,,,,
1,2,4,7,8,10,,,,,
2,3,4,7,8,10,11,,,,
1,2,4,7,8,9,10,11,,,
1,2,3,4,7,8,9,10,11,,
1,2,4,6,7,8,9,10,,,
1,2,3,4,6,7,8,10,,,
1,2,4,5,6,7,8,9,10,,
1,2,4,5,6,7,8,9,,,
1,2,3,4,5,6,7,8,10,,
1,2,3,4,5,6,7,8,9,10,11
2,4,5,6,7,8,10,,,,
1,2,3,4,5,6,7,8,9,10,
1,2,4,5,6,7,8,9,10,,
1,2,3,4,6,7,8,10,,,
1,2,3,5,6,7,8,10,,,
1,2,3,4,5,6,7,8,9,10,
1,2,3,4,5,6,7,8,9,10,
1,2,3,4,5,6,7,8,9,10,
1,2,3,4,6,8,9,10,,,
1,3,4,5,6,7,8,9,10,11,
1,2,4,5,6,7,8,9,10,11,
2,3,5,6,7,8,9,10,11,,
