Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
9,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
10,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
11,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
12,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
13,8,4,43,146,0.026666667,0.772486772,0.156862745,0.772486772,0.973333333,0.253968254,0.861356932,0.557662593,0.390742548,0.565098039,0.642337379,0.807058824
14,18,1,33,149,0.006666667,0.818681319,0.352941176,0.818681319,0.993333333,0.514285714,0.897590361,0.705938038,0.592104919,0.673137255,0.778081062,0.895882353
15,2,0,49,150,0,0.753768844,0.039215686,0.753768844,1,0.075471698,0.859598854,0.467535276,0.198029509,0.519607843,0.698246133,0.930522876
16,39,1,12,149,0.006666667,0.925465839,0.764705882,0.925465839,0.993333333,0.857142857,0.958199357,0.907671107,0.871554842,0.879019608,0.914626264,0.987843137
17,39,0,12,150,0,0.925925926,0.764705882,0.925925926,1,0.866666667,0.961538462,0.914102564,0.874474632,0.882352941,0.922657952,0.998366013
18,47,1,4,149,0.006666667,0.973856209,0.921568627,0.973856209,0.993333333,0.949494949,0.98349835,0.96649665,0.956778363,0.95745098,0.966981209,0.997581699
19,47,0,4,150,0,0.974025974,0.921568627,0.974025974,1,0.959183673,0.986842105,0.973012889,0.95998366,0.960784314,0.97389865,0.997124183
20,49,0,2,150,0,0.986842105,0.960784314,0.986842105,1,0.98,0.993377483,0.986688742,0.980196059,0.980392157,0.986906605,0.999869281
21,45,0,6,150,0,0.961538462,0.882352941,0.961538462,1,0.9375,0.980392157,0.958946078,0.939336437,0.941176471,0.960972851,0.999869281
22,44,0,7,150,0,0.955414013,0.862745098,0.955414013,1,0.926315789,0.977198697,0.951757243,0.928840728,0.931372549,0.954539778,0.986470588
23,47,0,4,150,0,0.974025974,0.921568627,0.974025974,1,0.959183673,0.986842105,0.973012889,0.95998366,0.960784314,0.97389865,0.978431373
24,45,0,6,150,0,0.961538462,0.882352941,0.961538462,1,0.9375,0.980392157,0.958946078,0.939336437,0.941176471,0.960972851,0.999869281
25,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,1
26,47,0,4,150,0,0.974025974,0.921568627,0.974025974,1,0.959183673,0.986842105,0.973012889,0.95998366,0.960784314,0.97389865,1
27,49,0,2,150,0,0.986842105,0.960784314,0.986842105,1,0.98,0.993377483,0.986688742,0.980196059,0.980392157,0.986906605,0.986666667
28,49,0,2,150,0,0.986842105,0.960784314,0.986842105,1,0.98,0.993377483,0.986688742,0.980196059,0.980392157,0.986906605,0.998823529
