Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5
2.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5
3.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5
4.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5
5.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5
6.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5
7.0,0.0,0.0,0.0,201.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.5,0.5,0.5
8.0,0.0,0.0,51.0,150.0,0.0,0.746268656716418,0.0,0.746268656716418,1.0,0.0,0.8547008547008548,0.4273504273504274,0.0,0.5,0.43656716417910446,0.5
9.0,0.0,0.0,51.0,150.0,0.0,0.746268656716418,0.0,0.746268656716418,1.0,0.0,0.8547008547008548,0.4273504273504274,0.0,0.5,0.43656716417910446,0.5
10.0,0.0,0.0,51.0,150.0,0.0,0.746268656716418,0.0,0.746268656716418,1.0,0.0,0.8547008547008548,0.4273504273504274,0.0,0.5,0.43656716417910446,0.5
11.0,0.0,0.0,51.0,150.0,0.0,0.746268656716418,0.0,0.746268656716418,1.0,0.0,0.8547008547008548,0.4273504273504274,0.0,0.5,0.43656716417910446,0.5
12.0,0.0,1.0,51.0,149.0,0.006666666666666667,0.745,0.0,0.745,0.9933333333333333,0.0,0.8514285714285714,0.4257142857142857,0.0,0.49666666666666665,0.4345833333333333,0.5
13.0,0.0,1.0,51.0,149.0,0.006666666666666667,0.745,0.0,0.745,0.9933333333333333,0.0,0.8514285714285714,0.4257142857142857,0.0,0.49666666666666665,0.4345833333333333,0.5
14.0,5.0,1.0,46.0,149.0,0.006666666666666667,0.764102564102564,0.09803921568627451,0.764102564102564,0.9933333333333333,0.17543859649122806,0.863768115942029,0.5196033562166285,0.3120666930562002,0.5456862745098039,0.6722021116138763,0.5
15.0,18.0,3.0,33.0,147.0,0.02,0.8166666666666667,0.35294117647058826,0.8166666666666667,0.98,0.5,0.890909090909091,0.6954545454545455,0.5881176352917641,0.6664705882352941,0.7516876750700281,0.5
16.0,25.0,3.0,26.0,147.0,0.02,0.8497109826589595,0.49019607843137253,0.8497109826589595,0.98,0.6329113924050633,0.9102167182662539,0.7715640553356586,0.693103280083672,0.7350980392156863,0.8031910509868687,0.5
17.0,34.0,1.0,17.0,149.0,0.006666666666666667,0.8975903614457831,0.6666666666666666,0.8975903614457831,0.9933333333333333,0.7906976744186046,0.9430379746835442,0.8668678245510744,0.8137703743822469,0.83,0.8822547332185886,0.5
18.0,40.0,3.0,11.0,147.0,0.02,0.930379746835443,0.7843137254901961,0.930379746835443,0.98,0.851063829787234,0.9545454545454545,0.9028046421663443,0.8767140075192092,0.882156862745098,0.9062315076162935,0.5
19.0,46.0,0.0,5.0,150.0,0.0,0.967741935483871,0.9019607843137255,0.967741935483871,1.0,0.9484536082474228,0.9836065573770492,0.9660300828122359,0.9497161598676341,0.9509803921568627,0.9674256799493991,0.5
20.0,50.0,0.0,1.0,150.0,0.0,0.9933774834437086,0.9803921568627451,0.9933774834437086,1.0,0.99009900990099,0.9966777408637874,0.9933883753823887,0.9901475429766743,0.9901960784313726,0.9934424100766135,0.5
21.0,50.0,1.0,1.0,149.0,0.006666666666666667,0.9933333333333333,0.9803921568627451,0.9933333333333333,0.9933333333333333,0.9803921568627451,0.9933333333333333,0.9868627450980392,0.9868415319342446,0.9868627450980392,0.9868627450980392,0.5
22.0,47.0,0.0,4.0,150.0,0.0,0.974025974025974,0.9215686274509803,0.974025974025974,1.0,0.9591836734693878,0.9868421052631579,0.9730128893662728,0.9599836599916586,0.9607843137254901,0.9738986503692386,0.5
23.0,47.0,0.0,4.0,150.0,0.0,0.974025974025974,0.9215686274509803,0.974025974025974,1.0,0.9591836734693878,0.9868421052631579,0.9730128893662728,0.9599836599916586,0.9607843137254901,0.9738986503692386,0.5
24.0,44.0,0.0,7.0,150.0,0.0,0.9554140127388535,0.8627450980392157,0.9554140127388535,1.0,0.9263157894736842,0.9771986970684039,0.951757243271044,0.928840728025648,0.9313725490196079,0.9545397776945173,0.5
25.0,45.0,0.0,6.0,150.0,0.0,0.9615384615384616,0.8823529411764706,0.9615384615384616,1.0,0.9375,0.9803921568627451,0.9589460784313726,0.9393364366277243,0.9411764705882353,0.9609728506787331,0.5
26.0,39.0,0.0,12.0,150.0,0.0,0.9259259259259259,0.7647058823529411,0.9259259259259259,1.0,0.8666666666666666,0.9615384615384615,0.914102564102564,0.8744746321952062,0.8823529411764706,0.9226579520697168,0.5
27.0,40.0,0.0,11.0,150.0,0.0,0.9316770186335404,0.7843137254901961,0.9316770186335404,1.0,0.8791208791208792,0.9646302250803859,0.9218755521006325,0.8856148855400953,0.892156862745098,0.9289976860309341,0.5
28.0,40.0,0.0,11.0,150.0,0.0,0.9316770186335404,0.7843137254901961,0.9316770186335404,1.0,0.8791208791208792,0.9646302250803859,0.9218755521006325,0.8856148855400953,0.892156862745098,0.9289976860309341,0.5
