Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
9,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
10,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
11,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
12,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
13,20,16,31,134,0.106666667,0.812121212,0.392156863,0.812121212,0.893333333,0.459770115,0.850793651,0.655281883,0.591884108,0.642745098,0.663291741,0.724836601
14,28,16,23,134,0.106666667,0.853503185,0.549019608,0.853503185,0.893333333,0.589473684,0.872964169,0.731218927,0.700326721,0.721176471,0.733054941,0.801568627
15,25,9,26,141,0.06,0.844311377,0.490196078,0.844311377,0.94,0.588235294,0.889589905,0.7389126,0.678810956,0.715098039,0.752450393,0.865163399
16,33,3,18,147,0.02,0.890909091,0.647058824,0.890909091,0.98,0.75862069,0.933333333,0.845977011,0.796315043,0.813529412,0.858658645,0.956862745
17,42,0,9,150,0,0.943396226,0.823529412,0.943396226,1,0.903225806,0.970873786,0.937049796,0.907485213,0.911764706,0.94173141,0.984183007
18,44,1,7,149,0.006666667,0.955128205,0.862745098,0.955128205,0.993333333,0.916666667,0.973856209,0.945261438,0.925739415,0.928039216,0.947246104,0.996470588
19,48,3,3,147,0.02,0.98,0.941176471,0.98,0.98,0.941176471,0.98,0.960588235,0.960392077,0.960588235,0.960588235,0.993856209
20,48,0,3,150,0,0.980392157,0.941176471,0.980392157,1,0.96969697,0.99009901,0.97989799,0.9701425,0.970588235,0.980392157,0.999738562
21,48,1,3,149,0.006666667,0.980263158,0.941176471,0.980263158,0.993333333,0.96,0.986754967,0.973377483,0.966903284,0.967254902,0.9735912,0.999084967
22,46,0,5,150,0,0.967741935,0.901960784,0.967741935,1,0.948453608,0.983606557,0.966030083,0.94971616,0.950980392,0.96742568,0.990196078
23,47,0,4,150,0,0.974025974,0.921568627,0.974025974,1,0.959183673,0.986842105,0.973012889,0.95998366,0.960784314,0.97389865,0.990196078
24,48,0,3,150,0,0.980392157,0.941176471,0.980392157,1,0.96969697,0.99009901,0.97989799,0.9701425,0.970588235,0.980392157,1
25,51,0,0,150,0,1,1,1,1,1,1,1,1,1,1,1
26,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,1
27,48,0,3,150,0,0.980392157,0.941176471,0.980392157,1,0.96969697,0.99009901,0.97989799,0.9701425,0.970588235,0.980392157,0.990196078
28,49,0,2,150,0,0.986842105,0.960784314,0.986842105,1,0.98,0.993377483,0.986688742,0.980196059,0.980392157,0.986906605,0.990196078
