Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.5,0.5
9,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.5,0.5
10,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.5,0.5
11,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.5,0.5
12,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.5,0.5
13,27,25,24,125,0.166666667,0.838926174,0.529411765,0.838926174,0.833333333,0.524271845,0.836120401,0.680196123,0.664211164,0.681372549,0.68022551,0.747124183
14,32,12,19,138,0.08,0.878980892,0.62745098,0.878980892,0.92,0.673684211,0.899022801,0.786353506,0.759772928,0.77372549,0.78842615,0.819019608
15,28,4,23,146,0.026666667,0.863905325,0.549019608,0.863905325,0.973333333,0.674698795,0.915360502,0.795029648,0.73101237,0.761176471,0.815314567,0.893921569
16,41,4,10,146,0.026666667,0.935897436,0.803921569,0.935897436,0.973333333,0.854166667,0.954248366,0.904207516,0.884581065,0.888627451,0.906065862,0.933856209
17,45,1,6,149,0.006666667,0.961290323,0.882352941,0.961290323,0.993333333,0.927835052,0.97704918,0.952442116,0.936200079,0.937843137,0.953809367,0.989934641
18,47,1,4,149,0.006666667,0.973856209,0.921568627,0.973856209,0.993333333,0.949494949,0.98349835,0.96649665,0.956778363,0.95745098,0.966981209,0.997385621
19,46,0,5,150,0,0.967741935,0.901960784,0.967741935,1,0.948453608,0.983606557,0.966030083,0.94971616,0.950980392,0.96742568,0.999869281
20,49,2,2,148,0.013333333,0.986666667,0.960784314,0.986666667,0.986666667,0.960784314,0.986666667,0.97372549,0.97363949,0.97372549,0.97372549,0.999477124
21,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,0.999738562
22,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,0.987581699
23,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,0.989934641
24,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,0.989934641
25,51,0,0,150,0,1,1,1,1,1,1,1,1,1,1,1
26,51,0,0,150,0,1,1,1,1,1,1,1,1,1,1,1
27,51,0,0,150,0,1,1,1,1,1,1,1,1,1,1,1
28,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,1
