Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
9,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
10,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
11,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
12,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
13,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.750065359
14,3,1,48,149,0.006666667,0.756345178,0.058823529,0.756345178,0.993333333,0.109090909,0.858789625,0.483940267,0.241725821,0.526078431,0.63962551,0.876078431
15,33,1,18,149,0.006666667,0.892215569,0.647058824,0.892215569,0.993333333,0.776470588,0.940063091,0.85826684,0.80171385,0.820196078,0.87579899,0.989346405
16,34,0,17,150,0,0.898203593,0.666666667,0.898203593,1,0.8,0.94637224,0.87318612,0.816496581,0.833333333,0.891217565,0.99869281
17,47,1,4,149,0.006666667,0.973856209,0.921568627,0.973856209,0.993333333,0.949494949,0.98349835,0.96649665,0.956778363,0.95745098,0.966981209,0.999215686
18,49,3,2,147,0.02,0.986577181,0.960784314,0.986577181,0.98,0.951456311,0.983277592,0.967366951,0.970344592,0.970392157,0.967417297,0.997777778
19,49,0,2,150,0,0.986842105,0.960784314,0.986842105,1,0.98,0.993377483,0.986688742,0.980196059,0.980392157,0.986906605,0.999346405
20,45,0,6,150,0,0.961538462,0.882352941,0.961538462,1,0.9375,0.980392157,0.958946078,0.939336437,0.941176471,0.960972851,1
21,49,0,2,150,0,0.986842105,0.960784314,0.986842105,1,0.98,0.993377483,0.986688742,0.980196059,0.980392157,0.986906605,1
22,45,0,6,150,0,0.961538462,0.882352941,0.961538462,1,0.9375,0.980392157,0.958946078,0.939336437,0.941176471,0.960972851,1
23,47,0,4,150,0,0.974025974,0.921568627,0.974025974,1,0.959183673,0.986842105,0.973012889,0.95998366,0.960784314,0.97389865,0.990196078
24,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,1
25,51,0,0,150,0,1,1,1,1,1,1,1,1,1,1,1
26,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,1
27,48,0,3,150,0,0.980392157,0.941176471,0.980392157,1,0.96969697,0.99009901,0.97989799,0.9701425,0.970588235,0.980392157,1
28,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,1
