Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
9,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
10,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
11,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
12,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
13,14,6,37,144,0.04,0.79558011,0.274509804,0.79558011,0.96,0.394366197,0.870090634,0.632228416,0.513351158,0.617254902,0.682522479,0.791111111
14,20,1,31,149,0.006666667,0.827777778,0.392156863,0.827777778,0.993333333,0.555555556,0.903030303,0.729292929,0.624133386,0.692745098,0.791412232,0.87
15,24,0,27,150,0,0.847457627,0.470588235,0.847457627,1,0.64,0.917431193,0.778715596,0.685994341,0.735294118,0.829511466,0.922352941
16,28,1,23,149,0.006666667,0.86627907,0.549019608,0.86627907,0.993333333,0.7,0.925465839,0.812732919,0.738484582,0.771176471,0.843537313,0.967124183
17,37,0,14,150,0,0.914634146,0.725490196,0.914634146,1,0.840909091,0.955414013,0.898161552,0.851757123,0.862745098,0.910031086,0.995359477
18,42,3,9,147,0.02,0.942307692,0.823529412,0.942307692,0.98,0.875,0.960784314,0.917892157,0.898364527,0.901764706,0.919792609,0.990326797
19,47,0,4,150,0,0.974025974,0.921568627,0.974025974,1,0.959183673,0.986842105,0.973012889,0.95998366,0.960784314,0.97389865,0.999215686
20,49,0,2,150,0,0.986842105,0.960784314,0.986842105,1,0.98,0.993377483,0.986688742,0.980196059,0.980392157,0.986906605,0.999738562
21,49,0,2,150,0,0.986842105,0.960784314,0.986842105,1,0.98,0.993377483,0.986688742,0.980196059,0.980392157,0.986906605,0.990196078
22,46,0,5,150,0,0.967741935,0.901960784,0.967741935,1,0.948453608,0.983606557,0.966030083,0.94971616,0.950980392,0.96742568,0.980392157
23,47,0,4,150,0,0.974025974,0.921568627,0.974025974,1,0.959183673,0.986842105,0.973012889,0.95998366,0.960784314,0.97389865,1
24,48,0,3,150,0,0.980392157,0.941176471,0.980392157,1,0.96969697,0.99009901,0.97989799,0.9701425,0.970588235,0.980392157,1
25,51,0,0,150,0,1,1,1,1,1,1,1,1,1,1,1
26,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,1
27,51,0,0,150,0,1,1,1,1,1,1,1,1,1,1,1
28,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,0.990130719
