Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,201,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
9,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
10,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
11,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
12,0,0,51,150,0,0.746268657,0,0.746268657,1,0,0.854700855,0.427350427,0,0.5,0.436567164,0.5
13,31,19,20,131,0.126666667,0.867549669,0.607843137,0.867549669,0.873333333,0.613861386,0.870431894,0.74214664,0.728594313,0.740588235,0.742181535,0.829934641
14,35,19,16,131,0.126666667,0.891156463,0.68627451,0.891156463,0.873333333,0.666666667,0.882154882,0.774410774,0.774174661,0.779803922,0.774728113,0.897124183
15,35,4,16,146,0.026666667,0.901234568,0.68627451,0.901234568,0.973333333,0.777777778,0.935897436,0.856837607,0.817296676,0.829803922,0.864569577,0.963660131
16,40,1,11,149,0.006666667,0.93125,0.784313725,0.93125,0.993333333,0.869565217,0.961290323,0.91542777,0.882657899,0.888823529,0.921126704,0.980653595
17,42,0,9,150,0,0.943396226,0.823529412,0.943396226,1,0.903225806,0.970873786,0.937049796,0.907485213,0.911764706,0.94173141,0.994248366
18,45,0,6,150,0,0.961538462,0.882352941,0.961538462,1,0.9375,0.980392157,0.958946078,0.939336437,0.941176471,0.960972851,0.991764706
19,45,0,6,150,0,0.961538462,0.882352941,0.961538462,1,0.9375,0.980392157,0.958946078,0.939336437,0.941176471,0.960972851,0.99869281
20,42,0,9,150,0,0.943396226,0.823529412,0.943396226,1,0.903225806,0.970873786,0.937049796,0.907485213,0.911764706,0.94173141,0.999738562
21,37,0,14,150,0,0.914634146,0.725490196,0.914634146,1,0.840909091,0.955414013,0.898161552,0.851757123,0.862745098,0.910031086,0.862745098
22,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,1
23,51,0,0,150,0,1,1,1,1,1,1,1,1,1,1,1
24,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,0.999869281
25,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,1
26,50,0,1,150,0,0.993377483,0.980392157,0.993377483,1,0.99009901,0.996677741,0.993388375,0.990147543,0.990196078,0.99344241,0.980522876
27,46,0,5,150,0,0.967741935,0.901960784,0.967741935,1,0.948453608,0.983606557,0.966030083,0.94971616,0.950980392,0.96742568,0.950980392
28,49,0,2,150,0,0.986842105,0.960784314,0.986842105,1,0.98,0.993377483,0.986688742,0.980196059,0.980392157,0.986906605,0.99620915
