Algorithm_Name,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Train_Run_Time,Prediction_Run_Time,Total_Run_Time
CDDRL-Tabu10+Params,45.62,8.44,5.38,141.56,0.06,0.87,0.89,0.96,0.94,0.88,0.95,0.92,0.92,0.92,0.92,0.95,10.603287,73.120679,83.723966
CDDRL-Ensemble_BNs,39.12,0.38,11.88,149.62,0,0.93,0.77,0.93,1,0.84,0.96,0.9,0.86,0.88,0.92,0.95,8.920673,276.485905,285.406578
CDDRL-Ensemble_Methods,42,0.25,9,149.75,0,0.95,0.82,0.95,1,0.88,0.97,0.93,0.9,0.91,0.94,0.95,209.144999,222.858151,432.00315
KNN-ADWIN,42.19,3.06,8.81,146.94,0.02,0.95,0.83,0.95,0.98,0.87,0.96,0.92,0.89,0.9,0.92,0.96,18.45352888,34.64500165,53.09853053
AWE,43.31,2.75,7.69,147.25,0.02,0.95,0.85,0.95,0.98,0.89,0.97,0.93,0.91,0.92,0.93,0.5,12.42973852,3.306169748,15.73590827
DWM,35.62,0.81,15.38,149.19,0.01,0.91,0.7,0.91,0.99,0.77,0.95,0.86,0.79,0.85,0.88,0.5,1.637650728,0.40132618,2.038976908
LNSE,44.88,3.06,6.12,146.94,0.02,0.96,0.88,0.96,0.98,0.9,0.97,0.94,0.93,0.93,0.94,0.96,8.227120876,16.79221106,25.01933193
SRP,40.81,0.69,10.19,149.31,0,0.94,0.8,0.94,1,0.86,0.97,0.91,0.88,0.9,0.93,0.97,28.67005277,16.33726144,45.00731421
SAM-KNN,27.5,0.06,23.5,149.94,0,0.88,0.54,0.88,1,0.58,0.93,0.76,0.59,0.77,0.78,0.5,8.5906322,1.204437494,9.795069695
VFDR,43.62,2.69,7.38,147.31,0.02,0.95,0.86,0.95,0.98,0.9,0.97,0.93,0.91,0.92,0.93,0.97,1.013516188,1.471895218,2.485411406
RSLVQ,36.06,0.38,14.94,149.62,0,0.92,0.71,0.92,1,0.76,0.95,0.86,0.79,0.85,0.9,0.5,6.71253562,0.286286116,6.998821735
OBC,40.62,0.38,10.38,149.62,0,0.94,0.8,0.94,1,0.83,0.97,0.9,0.85,0.9,0.91,0.98,545.668303,146.2093251,691.8776281
ARF,39.06,0.44,11.94,149.56,0,0.93,0.77,0.93,1,0.82,0.96,0.89,0.84,0.88,0.92,0.97,40.80026102,5.780248165,46.58050919
