Day,Accuracy_Train,Accuracy_Test
20,0.8445945945945946,0.35
21,0.6351351351351351,0.375
22,0.8040540540540541,0.45
23,0.8648648648648649,0.25
24,0.918918918918919,0.3
25,0.8851351351351351,0.4
26,0.9459459459459459,0.55
27,1.0,0.625
28,0.972972972972973,0.55
29,0.9932432432432432,0.6
30,0.8378378378378378,0.575
31,0.9256756756756757,0.55
32,0.9932432432432432,0.625
33,0.8986486486486487,0.55
34,0.9662162162162162,0.525
35,0.9797297297297297,0.55
36,0.8783783783783784,0.525
37,0.8783783783783784,0.425
38,0.8783783783783784,0.55
39,0.8445945945945946,0.4
40,0.777027027027027,0.475
41,0.8986486486486487,0.4
