parameters,stress_accuracy
"(70, 'relu', 'adam', 100, 0.0)",0.5762
"(70, 'relu', 'adam', 100, 0.1)",0.4777
"(70, 'relu', 'adam', 100, 0.2)",0.444
"(70, 'relu', 'adam', 150, 0.0)",0.5891
"(70, 'relu', 'adam', 150, 0.1)",0.5066
"(70, 'relu', 'adam', 150, 0.2)",0.4255
"(70, 'relu', 'adam', 200, 0.0)",0.6057
"(70, 'relu', 'adam', 200, 0.1)",0.4945
"(70, 'relu', 'adam', 200, 0.2)",0.4251
"(70, 'relu', 'sgd', 100, 0.0)",0.6511
"(70, 'relu', 'sgd', 100, 0.1)",0.6226
"(70, 'relu', 'sgd', 100, 0.2)",0.5532
"(70, 'relu', 'sgd', 150, 0.0)",0.6845
"(70, 'relu', 'sgd', 150, 0.1)",0.6223
"(70, 'relu', 'sgd', 150, 0.2)",0.5523
"(70, 'relu', 'sgd', 200, 0.0)",0.6806
"(70, 'relu', 'sgd', 200, 0.1)",0.6181
"(70, 'relu', 'sgd', 200, 0.2)",0.5498
"(70, 'tanh', 'adam', 100, 0.0)",0.5872
"(70, 'tanh', 'adam', 100, 0.1)",0.5472
"(70, 'tanh', 'adam', 100, 0.2)",0.4802
"(70, 'tanh', 'adam', 150, 0.0)",0.6228
"(70, 'tanh', 'adam', 150, 0.1)",0.5774
"(70, 'tanh', 'adam', 150, 0.2)",0.5468
"(70, 'tanh', 'adam', 200, 0.0)",0.623
"(70, 'tanh', 'adam', 200, 0.1)",0.5811
"(70, 'tanh', 'adam', 200, 0.2)",0.5457
"(70, 'tanh', 'sgd', 100, 0.0)",0.6449
"(70, 'tanh', 'sgd', 100, 0.1)",0.607
"(70, 'tanh', 'sgd', 100, 0.2)",0.5715
"(70, 'tanh', 'sgd', 150, 0.0)",0.657
"(70, 'tanh', 'sgd', 150, 0.1)",0.6502
"(70, 'tanh', 'sgd', 150, 0.2)",0.6215
"(70, 'tanh', 'sgd', 200, 0.0)",0.6613
"(70, 'tanh', 'sgd', 200, 0.1)",0.6596
"(70, 'tanh', 'sgd', 200, 0.2)",0.6311
"(100, 'relu', 'adam', 100, 0.0)",0.5757
"(100, 'relu', 'adam', 100, 0.1)",0.5062
"(100, 'relu', 'adam', 100, 0.2)",0.4549
"(100, 'relu', 'adam', 150, 0.0)",0.6164
"(100, 'relu', 'adam', 150, 0.1)",0.4832
"(100, 'relu', 'adam', 150, 0.2)",0.4409
"(100, 'relu', 'adam', 200, 0.0)",0.5909
"(100, 'relu', 'adam', 200, 0.1)",0.4902
"(100, 'relu', 'adam', 200, 0.2)",0.4679
"(100, 'relu', 'sgd', 100, 0.0)",0.6704
"(100, 'relu', 'sgd', 100, 0.1)",0.6236
"(100, 'relu', 'sgd', 100, 0.2)",0.6009
"(100, 'relu', 'sgd', 150, 0.0)",0.6832
"(100, 'relu', 'sgd', 150, 0.1)",0.6613
"(100, 'relu', 'sgd', 150, 0.2)",0.5787
"(100, 'relu', 'sgd', 200, 0.0)",0.686
"(100, 'relu', 'sgd', 200, 0.1)",0.6606
"(100, 'relu', 'sgd', 200, 0.2)",0.5681
"(100, 'tanh', 'adam', 100, 0.0)",0.5221
"(100, 'tanh', 'adam', 100, 0.1)",0.5145
"(100, 'tanh', 'adam', 100, 0.2)",0.4662
"(100, 'tanh', 'adam', 150, 0.0)",0.5568
"(100, 'tanh', 'adam', 150, 0.1)",0.5479
"(100, 'tanh', 'adam', 150, 0.2)",0.5089
"(100, 'tanh', 'adam', 200, 0.0)",0.564
"(100, 'tanh', 'adam', 200, 0.1)",0.5302
"(100, 'tanh', 'adam', 200, 0.2)",0.5211
"(100, 'tanh', 'sgd', 100, 0.0)",0.6553
"(100, 'tanh', 'sgd', 100, 0.1)",0.6291
"(100, 'tanh', 'sgd', 100, 0.2)",0.5955
"(100, 'tanh', 'sgd', 150, 0.0)",0.6689
"(100, 'tanh', 'sgd', 150, 0.1)",0.6666
"(100, 'tanh', 'sgd', 150, 0.2)",0.6372
"(100, 'tanh', 'sgd', 200, 0.0)",0.6726
"(100, 'tanh', 'sgd', 200, 0.1)",0.6917
"(100, 'tanh', 'sgd', 200, 0.2)",0.6634
"(130, 'relu', 'adam', 100, 0.0)",0.5855
"(130, 'relu', 'adam', 100, 0.1)",0.5019
"(130, 'relu', 'adam', 100, 0.2)",0.4504
"(130, 'relu', 'adam', 150, 0.0)",0.5936
"(130, 'relu', 'adam', 150, 0.1)",0.5
"(130, 'relu', 'adam', 150, 0.2)",0.4377
"(130, 'relu', 'adam', 200, 0.0)",0.6113
"(130, 'relu', 'adam', 200, 0.1)",0.4894
"(130, 'relu', 'adam', 200, 0.2)",0.4509
"(130, 'relu', 'sgd', 100, 0.0)",0.6783
"(130, 'relu', 'sgd', 100, 0.1)",0.6449
"(130, 'relu', 'sgd', 100, 0.2)",0.6262
"(130, 'relu', 'sgd', 150, 0.0)",0.6947
"(130, 'relu', 'sgd', 150, 0.1)",0.674
"(130, 'relu', 'sgd', 150, 0.2)",0.5964
"(130, 'relu', 'sgd', 200, 0.0)",0.7019
"(130, 'relu', 'sgd', 200, 0.1)",0.7066
"(130, 'relu', 'sgd', 200, 0.2)",0.5996
"(130, 'tanh', 'adam', 100, 0.0)",0.4334
"(130, 'tanh', 'adam', 100, 0.1)",0.4294
"(130, 'tanh', 'adam', 100, 0.2)",0.4232
"(130, 'tanh', 'adam', 150, 0.0)",0.4757
"(130, 'tanh', 'adam', 150, 0.1)",0.4723
"(130, 'tanh', 'adam', 150, 0.2)",0.447
"(130, 'tanh', 'adam', 200, 0.0)",0.4696
"(130, 'tanh', 'adam', 200, 0.1)",0.46
"(130, 'tanh', 'adam', 200, 0.2)",0.4626
"(130, 'tanh', 'sgd', 100, 0.0)",0.6687
"(130, 'tanh', 'sgd', 100, 0.1)",0.647
"(130, 'tanh', 'sgd', 100, 0.2)",0.6162
"(130, 'tanh', 'sgd', 150, 0.0)",0.6791
"(130, 'tanh', 'sgd', 150, 0.1)",0.6764
"(130, 'tanh', 'sgd', 150, 0.2)",0.6591
"(130, 'tanh', 'sgd', 200, 0.0)",0.6762
"(130, 'tanh', 'sgd', 200, 0.1)",0.6957
"(130, 'tanh', 'sgd', 200, 0.2)",0.6783
"(160, 'relu', 'adam', 100, 0.0)",0.5964
"(160, 'relu', 'adam', 100, 0.1)",0.4915
"(160, 'relu', 'adam', 100, 0.2)",0.4513
"(160, 'relu', 'adam', 150, 0.0)",0.6081
"(160, 'relu', 'adam', 150, 0.1)",0.4947
"(160, 'relu', 'adam', 150, 0.2)",0.4579
"(160, 'relu', 'adam', 200, 0.0)",0.6019
"(160, 'relu', 'adam', 200, 0.1)",0.5089
"(160, 'relu', 'adam', 200, 0.2)",0.4496
"(160, 'relu', 'sgd', 100, 0.0)",0.6857
"(160, 'relu', 'sgd', 100, 0.1)",0.6617
"(160, 'relu', 'sgd', 100, 0.2)",0.6228
"(160, 'relu', 'sgd', 150, 0.0)",0.6851
"(160, 'relu', 'sgd', 150, 0.1)",0.6913
"(160, 'relu', 'sgd', 150, 0.2)",0.6381
"(160, 'relu', 'sgd', 200, 0.0)",0.6955
"(160, 'relu', 'sgd', 200, 0.1)",0.7117
"(160, 'relu', 'sgd', 200, 0.2)",0.6234
"(160, 'tanh', 'adam', 100, 0.0)",0.3611
"(160, 'tanh', 'adam', 100, 0.1)",0.3887
"(160, 'tanh', 'adam', 100, 0.2)",0.3909
"(160, 'tanh', 'adam', 150, 0.0)",0.3806
"(160, 'tanh', 'adam', 150, 0.1)",0.384
"(160, 'tanh', 'adam', 150, 0.2)",0.4187
"(160, 'tanh', 'adam', 200, 0.0)",0.3589
"(160, 'tanh', 'adam', 200, 0.1)",0.3847
"(160, 'tanh', 'adam', 200, 0.2)",0.4147
"(160, 'tanh', 'sgd', 100, 0.0)",0.6802
"(160, 'tanh', 'sgd', 100, 0.1)",0.6591
"(160, 'tanh', 'sgd', 100, 0.2)",0.6294
"(160, 'tanh', 'sgd', 150, 0.0)",0.6777
"(160, 'tanh', 'sgd', 150, 0.1)",0.6877
"(160, 'tanh', 'sgd', 150, 0.2)",0.6817
"(160, 'tanh', 'sgd', 200, 0.0)",0.6832
"(160, 'tanh', 'sgd', 200, 0.1)",0.6943
"(160, 'tanh', 'sgd', 200, 0.2)",0.6774
"(190, 'relu', 'adam', 100, 0.0)",0.5945
"(190, 'relu', 'adam', 100, 0.1)",0.5026
"(190, 'relu', 'adam', 100, 0.2)",0.4623
"(190, 'relu', 'adam', 150, 0.0)",0.6028
"(190, 'relu', 'adam', 150, 0.1)",0.4774
"(190, 'relu', 'adam', 150, 0.2)",0.4177
"(190, 'relu', 'adam', 200, 0.0)",0.6306
"(190, 'relu', 'adam', 200, 0.1)",0.4794
"(190, 'relu', 'adam', 200, 0.2)",0.4411
"(190, 'relu', 'sgd', 100, 0.0)",0.7021
"(190, 'relu', 'sgd', 100, 0.1)",0.6868
"(190, 'relu', 'sgd', 100, 0.2)",0.6387
"(190, 'relu', 'sgd', 150, 0.0)",0.6836
"(190, 'relu', 'sgd', 150, 0.1)",0.6979
"(190, 'relu', 'sgd', 150, 0.2)",0.6604
"(190, 'relu', 'sgd', 200, 0.0)",0.6945
"(190, 'relu', 'sgd', 200, 0.1)",0.6977
"(190, 'relu', 'sgd', 200, 0.2)",0.656
"(190, 'tanh', 'adam', 100, 0.0)",0.2766
"(190, 'tanh', 'adam', 100, 0.1)",0.3298
"(190, 'tanh', 'adam', 100, 0.2)",0.3309
"(190, 'tanh', 'adam', 150, 0.0)",0.2881
"(190, 'tanh', 'adam', 150, 0.1)",0.2985
"(190, 'tanh', 'adam', 150, 0.2)",0.3468
"(190, 'tanh', 'adam', 200, 0.0)",0.2872
"(190, 'tanh', 'adam', 200, 0.1)",0.3094
"(190, 'tanh', 'adam', 200, 0.2)",0.3562
"(190, 'tanh', 'sgd', 100, 0.0)",0.6696
"(190, 'tanh', 'sgd', 100, 0.1)",0.6821
"(190, 'tanh', 'sgd', 100, 0.2)",0.6413
"(190, 'tanh', 'sgd', 150, 0.0)",0.6847
"(190, 'tanh', 'sgd', 150, 0.1)",0.6932
"(190, 'tanh', 'sgd', 150, 0.2)",0.684
"(190, 'tanh', 'sgd', 200, 0.0)",0.6813
"(190, 'tanh', 'sgd', 200, 0.1)",0.6921
"(190, 'tanh', 'sgd', 200, 0.2)",0.6985
