Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,11.4,35.6,0,0,0,0.757446809,1,0,0.861985472,0.430992736,0,0.5,0.439361702,0.5
2,0,0,12.6,34.4,0,0,0,0.731914894,1,0,0.845208845,0.422604423,0,0.5,0.432978723,0.5
3,0,0,11.8,35.2,0,0,0,0.74893617,1,0,0.856447689,0.428223844,0,0.5,0.437234043,0.5
4,0,0,11.2,35.8,0,0,0,0.761702128,1,0,0.8647343,0.43236715,0,0.5,0.440425532,0.5
5,0,0,11.8,35.2,0,0,0,0.74893617,1,0,0.856447689,0.428223844,0,0.5,0.437234043,0.5
6,0,0,13.6,33.4,0,0,0,0.710638298,1,0,0.830845771,0.415422886,0,0.5,0.427659574,0.5
7,0,0,11.2,35.8,0,0,0,0.761702128,1,0,0.8647343,0.43236715,0,0.5,0.440425532,0.5
8,0,0,10.4,36.6,0,0,0,0.778723404,1,0,0.875598086,0.437799043,0,0.5,0.444680851,0.5
9,0,0,13.2,33.8,0,0,0,0.719148936,1,0,0.836633663,0.418316832,0,0.5,0.429787234,0.5
10,0,0,11.2,35.8,0,0,0,0.761702128,1,0,0.8647343,0.43236715,0,0.5,0.440425532,0.5
11,0,0,10.8,36.2,0,0,0,0.770212766,1,0,0.870192308,0.435096154,0,0.5,0.442553191,0.5
12,0,0,13.6,33.4,0,0,0,0.710638298,1,0,0.830845771,0.415422886,0,0.5,0.427659574,0.5
13,0,0,11,36,0,0,0,0.765957447,1,0,0.86746988,0.43373494,0,0.5,0.441489362,0.5
14,0,0,11.2,35.8,0,0,0,0.761702128,1,0,0.8647343,0.43236715,0,0.5,0.440425532,0.5
15,0,0,13.8,33.2,0,0,0,0.706382979,1,0,0.827930175,0.413965087,0,0.5,0.426595745,0.5
16,3.2,5.4,8.4,30,0.152542373,0.372093023,0.275862069,0.78125,0.847457627,0.316831683,0.81300813,0.564919907,0.483509477,0.561659848,0.56916568,0.578935299
17,6,11.8,6.2,23,0.33908046,0.337078652,0.491803279,0.787671233,0.66091954,0.4,0.71875,0.559375,0.570124896,0.576361409,0.569368176,0.561111426
18,6,10.4,8,22.6,0.315151515,0.365853659,0.428571429,0.738562092,0.684848485,0.394736842,0.710691824,0.552714333,0.541762396,0.556709957,0.554458916,0.617855885
19,0.6,1,10.8,34.6,0.028089888,0.375,0.250655738,0.762114537,0.971910112,0.092307692,0.854320988,0.47331434,0.226170652,0.512270846,0.540414057,0.536904762
20,3,4.2,9.6,30.2,0.122093023,0.416666667,0.310655738,0.75879397,0.877906977,0.303030303,0.814016173,0.558523238,0.457193034,0.558001107,0.572865713,0.522620968
21,4.4,7.6,7.8,27.2,0.218390805,0.366666667,0.360655738,0.777142857,0.781609195,0.363636364,0.779369628,0.571502996,0.530934875,0.571132467,0.571518614,0.555817705
22,5.4,6,5.4,30.2,0.165745856,0.473684211,0.5,0.848314607,0.834254144,0.486486486,0.841225627,0.663856057,0.645853754,0.667127072,0.66406324,0.719426407
23,5.6,8.4,5.2,27.8,0.232044199,0.4,0.518518519,0.842424242,0.767955801,0.451612903,0.803468208,0.627540556,0.631030351,0.64323716,0.632224641,0.742210919
24,4.4,5.6,7.4,29.6,0.159090909,0.44,0.372881356,0.8,0.840909091,0.403669725,0.819944598,0.611807162,0.559963679,0.606895223,0.613447612,0.716794684
25,6.2,6.4,4.2,30.2,0.174863388,0.492063492,0.596153846,0.877906977,0.825136612,0.539130435,0.850704225,0.69491733,0.701361793,0.710645229,0.697815232,0.723524287
26,9.2,9,0.2,28.6,0.239361702,0.505494505,0.978723404,0.993055556,0.760638298,0.666666667,0.861445783,0.764056225,0.86281777,0.869680851,0.809477941,0.896319471
27,8.8,10,1.4,26.8,0.27173913,0.468085106,0.862745098,0.95035461,0.72826087,0.606896552,0.824615385,0.715755968,0.792655975,0.795502984,0.752361421,0.858766512
28,8.8,5.2,3.4,29.6,0.149425287,0.628571429,0.721311475,0.896969697,0.850574713,0.671755725,0.873156342,0.772456034,0.783281112,0.785943094,0.774356828,0.868665256
29,7.6,3.8,6.4,29.2,0.115151515,0.666666667,0.542857143,0.820224719,0.884848485,0.598425197,0.851311953,0.724868575,0.693070213,0.713852814,0.728649253,0.825592722
30,5.2,5.2,5.4,31.2,0.142857143,0.5,0.490566038,0.852459016,0.857142857,0.495238095,0.854794521,0.675016308,0.648448283,0.673854447,0.675041978,0.775073086
31,9.8,9.4,2.2,25.6,0.268571429,0.510416667,0.816666667,0.920863309,0.731428571,0.628205128,0.815286624,0.721745876,0.772873426,0.774047619,0.744843804,0.860760038
32,9.8,5,3.8,28.4,0.149700599,0.662162162,0.720588235,0.881987578,0.850299401,0.690140845,0.865853659,0.777997252,0.782761614,0.785443818,0.778759344,0.87482684
33,9.4,5,1.8,30.8,0.139664804,0.652777778,0.839285714,0.944785276,0.860335196,0.734375,0.900584795,0.817479898,0.849745279,0.849810455,0.824295991,0.935228313
34,6.8,4.8,4.2,31.2,0.133333333,0.586206897,0.618181818,0.881355932,0.866666667,0.601769912,0.87394958,0.737859746,0.731954627,0.742424242,0.738102828,0.844861016
35,8.4,7.4,4.4,26.8,0.216374269,0.53164557,0.65625,0.858974359,0.783625731,0.587412587,0.819571865,0.703492226,0.717115323,0.719937865,0.707623915,0.785980804
36,7.8,6.6,3.6,29,0.185393258,0.541666667,0.684210526,0.889570552,0.814606742,0.604651163,0.850439883,0.727545523,0.746567149,0.749408634,0.732513622,0.852135821
37,7.8,5,2.8,31.4,0.137362637,0.609375,0.735849057,0.918128655,0.862637363,0.666666667,0.889518414,0.77809254,0.796725103,0.79924321,0.781497519,0.824821443
38,9.6,6.4,3.4,27.6,0.188235294,0.6,0.738461538,0.890322581,0.811764706,0.662068966,0.849230769,0.755649867,0.774246094,0.775113122,0.760137206,0.869362916
