Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
10,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
11,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
12,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
13,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
14,9.4,28.2,0,0,1,0,1,0,0,0.39978415,0,0.199892075,0,0.5,0.312482219,0.5
15,9.4,27.6,0,0.6,0.978571429,0.2,1,0.2,0.021428571,0.405244211,0.038709677,0.221976944,0.065465367,0.510714286,0.368912494,0.5
16,7.4,19.2,2,9,0.679310345,0.64962963,0.795555556,0.64962963,0.320689655,0.421303843,0.386334961,0.403819402,0.38907741,0.558122605,0.518526706,0.584655172
17,8,24,1.4,4.2,0.851477833,0.45,0.844444444,0.45,0.148522167,0.381318681,0.211455774,0.296387228,0.239540903,0.496483306,0.422750083,0.619510126
18,4.8,12,4.6,16.2,0.428571429,0.749687856,0.511111111,0.749687856,0.571428571,0.286172957,0.584545912,0.435359435,0.329011893,0.541269841,0.51839764,0.653017241
19,5.8,14.4,3.6,13.8,0.512561576,0.856628352,0.611111111,0.856628352,0.487438424,0.365510307,0.549326751,0.457418529,0.443336348,0.549274767,0.561830186,0.555881226
20,4.8,10.6,4.6,17.6,0.376847291,0.634257224,0.506666667,0.634257224,0.623152709,0.380555556,0.627984774,0.504270165,0.431266208,0.564909688,0.527752081,0.551048166
21,5.6,15,3.8,13.2,0.533497537,0.577368421,0.602222222,0.577368421,0.466502463,0.321556704,0.472845118,0.397200911,0.273825967,0.534362343,0.469217113,0.627931034
22,5,13.6,4.4,14.6,0.481280788,0.77484472,0.54,0.77484472,0.518719212,0.354893939,0.608335258,0.481614599,0.508563381,0.529359606,0.528013136,0.55316913
23,5.8,11.4,3.6,16.8,0.404926108,0.818180451,0.615555556,0.818180451,0.595073892,0.444162693,0.654616021,0.549389357,0.564553878,0.605314724,0.600021863,0.646776136
24,4.2,7.4,5.2,20.8,0.264285714,0.803080281,0.446666667,0.803080281,0.735714286,0.361795207,0.754963483,0.558379345,0.483232453,0.591190476,0.579260967,0.684162562
25,6.4,9.4,3,18.8,0.333251232,0.869360008,0.68,0.869360008,0.666748768,0.502694617,0.749504893,0.626099755,0.664503257,0.673374384,0.655691155,0.746272578
26,6,9.4,3.4,18.8,0.334236453,0.849006588,0.642222222,0.849006588,0.665763547,0.49222256,0.708148148,0.600185354,0.604397351,0.653992885,0.668360106,0.823612479
27,6.6,6,2.8,22.2,0.213054187,0.885859351,0.702222222,0.885859351,0.786945813,0.611546841,0.830485825,0.721016333,0.741420224,0.744584018,0.73282993,0.823155446
28,6.4,3.8,3,24.4,0.134729064,0.894221663,0.684444444,0.894221663,0.865270936,0.659030897,0.875424104,0.767227501,0.762090906,0.77485769,0.778642991,0.836231527
29,5,4,4.4,24.2,0.142118227,0.845156511,0.531111111,0.845156511,0.857881773,0.550649856,0.850226393,0.700438124,0.673517253,0.694496442,0.705780939,0.795596606
30,4.6,2.4,4.8,25.8,0.085714286,0.843850784,0.484444444,0.843850784,0.914285714,0.55635908,0.875922746,0.716140913,0.658590326,0.699365079,0.742311902,0.700785441
31,5.2,2.2,4.2,26,0.078078818,0.861038786,0.551111111,0.861038786,0.921921182,0.618333333,0.890149289,0.754241311,0.711398555,0.736516147,0.761732056,0.827297482
32,4.4,1,5,27.2,0.03546798,0.845657596,0.471111111,0.845657596,0.96453202,0.591666667,0.900940405,0.746303536,0.670227928,0.717821565,0.772825182,0.862985769
33,5.8,3.6,3.6,24.6,0.127832512,0.873891763,0.62,0.873891763,0.872167488,0.615689223,0.87096216,0.743325691,0.729354961,0.746083744,0.753130974,0.828076081
34,5.4,3.6,4,24.6,0.127586207,0.862050157,0.575555556,0.862050157,0.872413793,0.583174603,0.865500709,0.724337656,0.703497302,0.723984674,0.733060432,0.828739737
35,4,1.8,5.4,26.4,0.064039409,0.830428422,0.424444444,0.830428422,0.935960591,0.524934508,0.87905522,0.701994864,0.622897144,0.680202518,0.73451392,0.845221675
36,3.6,2.2,5.8,26,0.077586207,0.819194312,0.38,0.819194312,0.922413793,0.459757348,0.866490382,0.663123865,0.581435901,0.651206897,0.70123536,0.817731253
37,4.6,2.2,4.8,26,0.078325123,0.849938014,0.484444444,0.849938014,0.921674877,0.541210384,0.881788381,0.711499382,0.651165686,0.703059661,0.73553448,0.816992337
38,3.6,2.6,5.8,25.6,0.092610837,0.81952765,0.38,0.81952765,0.907389163,0.437252747,0.857571553,0.64741215,0.565138828,0.643694581,0.681729203,0.791851396
39,4,3,5.4,25.2,0.106896552,0.827640693,0.42,0.827640693,0.893103448,0.462649573,0.855508017,0.659078795,0.590631144,0.656551724,0.686297146,0.747662835
40,3,1.8,6.4,26.4,0.064039409,0.806083524,0.313333333,0.806083524,0.935960591,0.395238095,0.86484895,0.630043523,0.478261421,0.624646962,0.662177696,0.766871921
41,4.2,1.8,5.2,26.4,0.063793103,0.835821474,0.444444444,0.835821474,0.936206897,0.540238095,0.882667371,0.711452733,0.637831993,0.69032567,0.733999156,0.778912151
