Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
10,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
11,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
12,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
13,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
14,0,0,9.4,28.2,0,0.750071124,0,0.750071124,1,0,0.857143652,0.428571826,0,0.5,0.437517781,0.5
15,0,0,9.4,28.2,0,0.750071124,0,0.750071124,1,0,0.857143652,0.428571826,0,0.5,0.437517781,0.5
16,1,1.8,8.4,26.4,0.064285714,0.760038104,0.111111111,0.760038104,0.935714286,0.126666667,0.834869964,0.480768315,0.190172017,0.523412698,0.498685572,0.5
17,3,6.8,6.4,21.4,0.242857143,0.8,0.331111111,0.8,0.757142857,0.203419299,0.739677176,0.471548237,0.292267065,0.544126984,0.515063492,0.5
18,0.8,2.4,8.6,25.8,0.085714286,0.748769475,0.088888889,0.748769475,0.914285714,0.104761905,0.819027749,0.461894827,0.168174905,0.501587302,0.479652686,0.5
19,0.8,3.6,8.6,24.6,0.128571429,0.734701885,0.086666667,0.734701885,0.871428571,0.10169697,0.78996967,0.44583332,0.194153827,0.479047619,0.496115947,0.5
20,0.6,2,8.8,26.2,0.071428571,0.748410175,0.064444444,0.748410175,0.928571429,0.073015873,0.826429313,0.449722593,0.141411089,0.496507937,0.458967623,0.5
21,1.6,4,7.8,24.2,0.142610837,0.757996706,0.16,0.757996706,0.857389163,0.127058824,0.791983688,0.459521256,0.19060886,0.508694581,0.473132182,0.5
22,3.2,7.4,6.2,20.8,0.263546798,0.768951029,0.346666667,0.768951029,0.736453202,0.289833558,0.719167711,0.504500635,0.424824262,0.541559934,0.551475579,0.5
23,2.8,4,6.6,24.2,0.142118227,0.789204584,0.288888889,0.789204584,0.857881773,0.290979757,0.817157038,0.554068398,0.414586328,0.573385331,0.563716034,0.5
24,3,4,6.4,24.2,0.142857143,0.796892946,0.311111111,0.796892946,0.857142857,0.298666667,0.819104258,0.558885463,0.422841222,0.584126984,0.60155188,0.5
25,0,0,9.4,28.2,0,0.750071124,0,0.750071124,1,0,0.857143652,0.428571826,0,0.5,0.437517781,0.5
26,6.4,8.8,3,19.4,0.312315271,0.892093218,0.668888889,0.892093218,0.687684729,0.446845923,0.754217464,0.600531694,0.563307723,0.678286809,0.646833376,0.5
27,7,4.6,2.4,23.6,0.163546798,0.912395548,0.746666667,0.912395548,0.836453202,0.662860527,0.869277346,0.766068937,0.781477753,0.791559934,0.77783358,0.5
28,5,2.8,4.4,25.4,0.099261084,0.854073861,0.531111111,0.854073861,0.900738916,0.573628925,0.875756012,0.724692469,0.67856014,0.715925014,0.731668562,0.5
29,3.6,2,5.8,26.2,0.071182266,0.819511241,0.384444444,0.819511241,0.928817734,0.475784314,0.870331079,0.673057696,0.587927518,0.656631089,0.696526688,0.5
30,3.8,2.8,5.6,25.4,0.099753695,0.819023735,0.402222222,0.819023735,0.900246305,0.475006748,0.85658426,0.665795504,0.595015718,0.651234264,0.690055605,0.5
31,6.2,3.6,3.2,24.6,0.128078818,0.888172043,0.655555556,0.888172043,0.871921182,0.649444444,0.875952957,0.762698701,0.748935597,0.763738369,0.773874847,0.5
32,5.2,2.4,4.2,25.8,0.084975369,0.860262843,0.555555556,0.860262843,0.915024631,0.615557276,0.886251882,0.750904579,0.710293279,0.735290093,0.757710757,0.5
33,6.6,3.2,2.8,25,0.113793103,0.899518725,0.702222222,0.899518725,0.886206897,0.696507937,0.890616255,0.793562096,0.786090277,0.794214559,0.801947278,0.5
34,5,3.4,4.4,24.8,0.120935961,0.849640805,0.533333333,0.849640805,0.879064039,0.565068018,0.862123404,0.713595711,0.680275711,0.706198686,0.722240314,0.5
35,6.2,4,3.2,24.2,0.142610837,0.88469697,0.655555556,0.88469697,0.857389163,0.63992674,0.864752146,0.752339443,0.73986032,0.756472359,0.769557481,0.5
36,6.2,2.8,3.2,25.4,0.099507389,0.889425075,0.653333333,0.889425075,0.900492611,0.668248082,0.893927141,0.781087611,0.762145434,0.776912972,0.785153414,0.5
37,5,2.6,4.4,25.6,0.092610837,0.856636339,0.528888889,0.856636339,0.907389163,0.570980392,0.879237859,0.725109125,0.678225059,0.718139026,0.743033792,0.5
38,4.4,2,5,26.2,0.071182266,0.840309201,0.464444444,0.840309201,0.928817734,0.555366855,0.880466362,0.717916609,0.648954912,0.696631089,0.752142845,0.5
39,4.4,1,5,27.2,0.035714286,0.847173423,0.464444444,0.847173423,0.964285714,0.566190476,0.901044932,0.733617704,0.647543487,0.714365079,0.783856848,0.5
40,3.2,1,6.2,27.2,0.035714286,0.814170384,0.337777778,0.814170384,0.964285714,0.46737772,0.882629415,0.675003568,0.567455373,0.651031746,0.728463231,0.5
41,4.4,3.6,5,24.6,0.127586207,0.832933734,0.466666667,0.832933734,0.872413793,0.493299916,0.851166418,0.672233167,0.626705483,0.66954023,0.678609609,0.5
