Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
10,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
11,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
12,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
13,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
14,1.4,3.6,8,24.6,0.128078818,0.753120091,0.146666667,0.753120091,0.871921182,0.165899403,0.802727075,0.484313239,0.260480609,0.509293924,0.517926985,0.5
15,5,12.8,4.4,15.4,0.454679803,0.775996732,0.533333333,0.775996732,0.545320197,0.367448484,0.632186454,0.499817469,0.527413599,0.539326765,0.535959291,0.5
16,5.4,11.4,4,16.8,0.40320197,0.8002766,0.577777778,0.8002766,0.59679803,0.426691729,0.67624714,0.551469434,0.581581844,0.587287904,0.58238687,0.5
17,3.2,7.2,6.2,21,0.256403941,0.7726356,0.348888889,0.7726356,0.743596059,0.287252747,0.731951948,0.509602347,0.432064076,0.546242474,0.551985265,0.5
18,4.2,11.6,5.2,16.6,0.410098522,0.769622273,0.444444444,0.769622273,0.589901478,0.307375957,0.633666208,0.470521083,0.443549487,0.517172961,0.525320867,0.5
19,1.6,5.8,7.8,22.4,0.207142857,0.729730725,0.173333333,0.729730725,0.792857143,0.173571429,0.748158601,0.460865015,0.295198082,0.483095238,0.476956491,0.5
20,1.2,3,8.2,25.2,0.107142857,0.753719996,0.131111111,0.753719996,0.892857143,0.157942367,0.814487566,0.486214967,0.24913244,0.511984127,0.49906492,0.5
21,4,9.2,5.4,19,0.328571429,0.766197316,0.424444444,0.766197316,0.671428571,0.340792541,0.699806356,0.520299449,0.491535003,0.547936508,0.577600916,0.5
22,4.6,8.8,4.8,19.4,0.313546798,0.802458326,0.486666667,0.802458326,0.686453202,0.393448442,0.732230569,0.562839505,0.557902842,0.586559934,0.58288022,0.5
23,4.6,10.4,4.8,17.8,0.369950739,0.786103207,0.488888889,0.786103207,0.630049261,0.37465035,0.69319308,0.533921715,0.543366524,0.559469075,0.554602585,0.5
24,4.4,8.6,5,19.6,0.306157635,0.800954571,0.466666667,0.800954571,0.693842365,0.378539013,0.739409061,0.558974037,0.55089289,0.580254516,0.573602945,0.5
25,6.4,10.2,3,18,0.363300493,0.856167295,0.675555556,0.856167295,0.636699507,0.497414988,0.720092146,0.608753567,0.644333033,0.656127531,0.644310215,0.5
26,7.6,11.2,1.8,17,0.398275862,0.902140351,0.808888889,0.902140351,0.601724138,0.544380055,0.716348251,0.630364153,0.692566044,0.705306513,0.681878099,0.5
27,8.2,7.8,1.2,20.4,0.277339901,0.941758242,0.873333333,0.941758242,0.722660099,0.659047619,0.813446528,0.736247073,0.791948951,0.797996716,0.768627805,0.5
28,7.8,7.2,1.6,21,0.25591133,0.928571429,0.831111111,0.928571429,0.74408867,0.651322751,0.822051333,0.736687042,0.782728094,0.787599891,0.762236076,0.5
29,6,5.2,3.4,23,0.184975369,0.876531746,0.637777778,0.876531746,0.815024631,0.574235589,0.841338585,0.707787087,0.704731257,0.726401204,0.717819278,0.5
30,5,3.6,4.4,24.6,0.128078818,0.849651895,0.531111111,0.849651895,0.871921182,0.556532999,0.858352487,0.707442743,0.671845543,0.701516147,0.718171047,0.5
31,6.2,4.8,3.2,23.4,0.170689655,0.881011374,0.655555556,0.881011374,0.829310345,0.609494035,0.851199556,0.730346795,0.726727719,0.74243295,0.739866754,0.5
32,6,3.2,3.4,25,0.113546798,0.879756868,0.642222222,0.879756868,0.886453202,0.653501401,0.88230845,0.767904925,0.75200617,0.764337712,0.771155692,0.5
33,6.6,3.4,2.8,24.8,0.120689655,0.897738988,0.704444444,0.897738988,0.879310345,0.689755463,0.886674343,0.788214903,0.785627219,0.791877395,0.793052016,0.5
34,6.2,4,3.2,24.2,0.142118227,0.882969929,0.662222222,0.882969929,0.857881773,0.640350877,0.867877468,0.754114173,0.751476494,0.760051998,0.759935148,0.5
35,6.6,4.6,2.8,23.6,0.163546798,0.893850027,0.697777778,0.893850027,0.836453202,0.644678602,0.861343632,0.753011117,0.760021414,0.76711549,0.760953818,0.5
36,5.8,2.8,3.6,25.4,0.099507389,0.874889795,0.613333333,0.874889795,0.900492611,0.649912281,0.886832103,0.768372192,0.741490164,0.756912972,0.773600291,0.5
37,6.4,3.4,3,24.8,0.120935961,0.892764977,0.677777778,0.892764977,0.879064039,0.667925953,0.884295765,0.776110859,0.768944683,0.778420909,0.782337596,0.5
38,5.4,3.2,4,25,0.114039409,0.864790765,0.571111111,0.864790765,0.885960591,0.59701176,0.872313657,0.734662708,0.702272421,0.728535851,0.754037045,0.5
39,5,3.4,4.4,24.8,0.121182266,0.851920093,0.526666667,0.851920093,0.878817734,0.555016303,0.861880859,0.708448581,0.668953935,0.7027422,0.731231465,0.5
40,4.8,3,4.6,25.2,0.106403941,0.84640293,0.508888889,0.84640293,0.893596059,0.552176973,0.868344997,0.710260985,0.668559668,0.701242474,0.720991811,0.5
41,4.8,3.8,4.6,24.4,0.134975369,0.840068941,0.511111111,0.840068941,0.865024631,0.540784314,0.851429437,0.696106876,0.661547581,0.688067871,0.701258963,0.5
