Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
10,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
11,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
12,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
13,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
14,0.2,0,9.2,28.2,0,0.754275328,0.022222222,0.754275328,1,0.04,0.85983596,0.44991798,0.066666667,0.511111111,0.494124388,0.5
15,0.6,2,8.8,26.2,0.071182266,0.748823552,0.064444444,0.748823552,0.928817734,0.094871795,0.828952696,0.461912246,0.188180626,0.496631089,0.481354766,0.5
16,1,4.2,8.4,24,0.149507389,0.741466242,0.111111111,0.741466242,0.850492611,0.131862745,0.791313082,0.461587913,0.228966276,0.480801861,0.470112729,0.430674603
17,3,7.2,6.4,21,0.256403941,0.766025086,0.32,0.766025086,0.743596059,0.301472469,0.750953739,0.526213104,0.476248728,0.53179803,0.534071953,0.512268747
18,2.4,4,7,24.2,0.142118227,0.774884793,0.257777778,0.774884793,0.857881773,0.308760684,0.813136289,0.560948486,0.460135541,0.557829776,0.578191642,0.603816366
19,3,4.2,6.4,24,0.148522167,0.792525097,0.324444444,0.792525097,0.851477833,0.348888889,0.819152145,0.584020517,0.505001865,0.587961138,0.593728005,0.61310208
20,2.2,2,7.2,26.2,0.071182266,0.78530367,0.235555556,0.78530367,0.928817734,0.314440559,0.85059443,0.582517495,0.452460219,0.582186645,0.616585907,0.578727422
21,3.2,5.4,6.2,22.8,0.191133005,0.785670498,0.34,0.785670498,0.808866995,0.358792815,0.79676841,0.577780613,0.521655565,0.574433498,0.579593969,0.579151615
22,3,5.2,6.4,23,0.184236453,0.782771333,0.315555556,0.782771333,0.815763547,0.334798762,0.798800449,0.566799606,0.497693707,0.565659551,0.56806626,0.628864258
23,3,4.4,6.4,23.8,0.155665025,0.79007977,0.32,0.79007977,0.844334975,0.346089488,0.815271948,0.580680718,0.504590354,0.582167488,0.586698924,0.648449644
24,2.6,3.8,6.8,24.4,0.135221675,0.783549847,0.277777778,0.783549847,0.864778325,0.317560871,0.820477839,0.569019355,0.473013267,0.571278051,0.582446401,0.642472633
25,3.6,5.6,5.8,22.6,0.199261084,0.796934792,0.388888889,0.796934792,0.800738916,0.382800512,0.797367218,0.590083865,0.539460057,0.594813903,0.593085871,0.633237548
26,6.2,5.2,3.2,23,0.184729064,0.881517557,0.655555556,0.881517557,0.815270936,0.588153951,0.844663578,0.716408765,0.72375346,0.735413246,0.725132091,0.781925287
27,5.8,2.8,3.6,25.4,0.099261084,0.876449553,0.613333333,0.876449553,0.900738916,0.640461448,0.888155914,0.764308681,0.740365461,0.757036125,0.766434563,0.845840175
28,5.4,2.2,4,26,0.078078818,0.8685454,0.571111111,0.8685454,0.921921182,0.624206349,0.893772205,0.758989277,0.718126936,0.746516147,0.766579488,0.824967159
29,4.2,1.2,5.2,27,0.042857143,0.839471326,0.444444444,0.839471326,0.957142857,0.556457431,0.893926179,0.725191805,0.644100285,0.700793651,0.76484799,0.782497263
30,3.4,1.4,6,26.8,0.05,0.817470598,0.357777778,0.817470598,0.95,0.470371383,0.877910266,0.674140825,0.576163221,0.653888889,0.729089872,0.76259168
31,4.4,3,5,25.2,0.106896552,0.837163338,0.46,0.837163338,0.893103448,0.5,0.862879345,0.681439672,0.626084981,0.676551724,0.69628964,0.732227696
32,5,2,4.4,26.2,0.070935961,0.856693548,0.531111111,0.856693548,0.929064039,0.605555556,0.891264368,0.748409962,0.699682397,0.730087575,0.756300508,0.751564039
33,5.4,2.6,4,25.6,0.092857143,0.864020103,0.575555556,0.864020103,0.907142857,0.630760234,0.883600623,0.757180428,0.72125629,0.741349206,0.770518013,0.803282704
34,5,3.4,4.4,24.8,0.120689655,0.849258392,0.531111111,0.849258392,0.879310345,0.564564352,0.862200771,0.713382561,0.679463737,0.705210728,0.728240669,0.79831144
35,5.8,3.6,3.6,24.6,0.127832512,0.872466703,0.613333333,0.872466703,0.872167488,0.613890609,0.872099393,0.742995001,0.730149681,0.742750411,0.743810063,0.792780515
36,4.6,2.8,4.8,25.4,0.098768473,0.841707718,0.486666667,0.841707718,0.901231527,0.545641026,0.869030122,0.707335574,0.65754693,0.693949097,0.724901478,0.780496716
37,5.2,2.2,4.2,26,0.078325123,0.862056983,0.551111111,0.862056983,0.921674877,0.623904762,0.88732136,0.755613061,0.705144508,0.736392994,0.779901219,0.78219075
38,5.8,2.4,3.6,25.8,0.085714286,0.883634959,0.613333333,0.883634959,0.914285714,0.654449472,0.892886325,0.773667899,0.734304673,0.763809524,0.801605518,0.807146962
39,5,2.8,4.4,25.4,0.099753695,0.858201224,0.526666667,0.858201224,0.900246305,0.553126406,0.875415288,0.714270847,0.665493498,0.713456486,0.737349978,0.770049261
40,4.8,4,4.6,24.2,0.141625616,0.842129547,0.504444444,0.842129547,0.858374384,0.517294686,0.848432224,0.682863455,0.64978017,0.681409414,0.690988454,0.777230432
41,5.6,3.2,3.8,25,0.113793103,0.867529648,0.597777778,0.867529648,0.886206897,0.619152047,0.876386028,0.747769037,0.726406431,0.741992337,0.749981755,0.867204433
