Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
10,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
11,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
12,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
13,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
14,0,0,9.4,28.2,0,0.750071124,0,0.750071124,1,0,0.857143652,0.428571826,0,0.5,0.437517781,0.5
15,2.4,7,7,21.2,0.248029557,0.751805556,0.255555556,0.751805556,0.751970443,0.250712007,0.750282132,0.500497069,0.388685276,0.503762999,0.504832889,0.5
16,3,5.6,6.4,22.6,0.199261084,0.779961933,0.317777778,0.779961933,0.800738916,0.322515263,0.78886119,0.555688226,0.490385536,0.559258347,0.559910061,0.539122879
17,3,7,6.4,21.2,0.249014778,0.774615556,0.326666667,0.774615556,0.750985222,0.287203065,0.753035613,0.520119339,0.456314231,0.538825944,0.535415346,0.569178982
18,3.4,6,6,22.2,0.213300493,0.786845878,0.357777778,0.786845878,0.786699507,0.357591442,0.785854577,0.57172301,0.524832781,0.572238643,0.574211632,0.586598248
19,3.8,6.6,5.6,21.6,0.233743842,0.796271645,0.408888889,0.796271645,0.766256158,0.379347826,0.77692078,0.578134303,0.548000405,0.587572523,0.588032744,0.623508484
20,2,2.6,7.4,25.6,0.092364532,0.776316542,0.211111111,0.776316542,0.907635468,0.272411902,0.835722516,0.554067209,0.42369526,0.55937329,0.588944352,0.576963602
21,3.6,8.6,5.8,19.6,0.304187192,0.771512605,0.375555556,0.771512605,0.695812808,0.298511633,0.717010913,0.507761273,0.456721735,0.535684182,0.534367039,0.644311713
22,4.6,5,4.8,23.2,0.178078818,0.830603397,0.495555556,0.830603397,0.821921182,0.483290043,0.824762581,0.654026312,0.623648985,0.658738369,0.660353367,0.705790914
23,4.4,4.2,5,24,0.149753695,0.827098403,0.468888889,0.827098403,0.850246305,0.493052484,0.836353229,0.664702856,0.625123937,0.659567597,0.674415542,0.737996716
24,4.6,5.6,4.8,22.6,0.198768473,0.826610409,0.488888889,0.826610409,0.801231527,0.459548872,0.811583737,0.635566305,0.604020642,0.645060208,0.640293817,0.717175698
25,2.8,6.2,6.6,22,0.219704433,0.769603768,0.3,0.769603768,0.780295567,0.301888053,0.773315853,0.537601953,0.47672116,0.540147783,0.542323318,0.649759168
26,5.6,6,3.8,22.2,0.213054187,0.854842809,0.597777778,0.854842809,0.786945813,0.53395881,0.818493283,0.676226046,0.680536431,0.692361795,0.682029462,0.754536125
27,6.2,5,3.2,23.2,0.177832512,0.878165187,0.66,0.878165187,0.822167488,0.606252588,0.848054982,0.727153785,0.735906206,0.741083744,0.732117801,0.805651341
28,4.6,4.6,4.8,23.6,0.161330049,0.82953739,0.484444444,0.82953739,0.838669951,0.503386189,0.828975589,0.666180889,0.628886993,0.661557198,0.683300309,0.789355501
29,3.2,4.2,6.2,24,0.149507389,0.795695863,0.34,0.795695863,0.850492611,0.370103065,0.81858892,0.594345993,0.519441485,0.595246305,0.614669829,0.78447318
30,5,6.2,4.4,22,0.22044335,0.837002308,0.531111111,0.837002308,0.77955665,0.477152047,0.803258156,0.640205101,0.6317786,0.655333881,0.650429422,0.736929392
31,5.2,6.4,4.2,21.8,0.227093596,0.85992126,0.553333333,0.85992126,0.772906404,0.480839599,0.788477027,0.634658313,0.603793835,0.663119869,0.669908548,0.798182813
32,5.2,6.6,4.2,21.6,0.234729064,0.82953713,0.557777778,0.82953713,0.765270936,0.497103175,0.783847846,0.64047551,0.627635229,0.661524357,0.659571582,0.78993295
33,6.6,8.6,2.8,19.6,0.305418719,0.886714286,0.702222222,0.886714286,0.694581281,0.53410883,0.76548486,0.649796845,0.679378947,0.698401752,0.684814956,0.85272578
34,6,7.6,3.4,20.6,0.269704433,0.864112554,0.644444444,0.864112554,0.730295567,0.514354515,0.785128179,0.649741347,0.669079172,0.687370005,0.676294024,0.80643815
35,5,2.4,4.4,25.8,0.08546798,0.857754707,0.528888889,0.857754707,0.91453202,0.573168215,0.883966561,0.728567388,0.680272642,0.721710454,0.743230412,0.875617132
36,5,4.8,4.4,23.4,0.170689655,0.843961522,0.52,0.843961522,0.829310345,0.493754386,0.830342659,0.662048522,0.577756884,0.674655172,0.673595744,0.774592228
37,4.6,4.8,4.8,23.4,0.170935961,0.838209894,0.482222222,0.838209894,0.829064039,0.47063653,0.826433213,0.648534872,0.611409251,0.655643131,0.664867773,0.783786262
38,5.8,4.6,3.6,23.6,0.162807882,0.869054527,0.611111111,0.869054527,0.837192118,0.581768271,0.85063602,0.716202146,0.709136725,0.724151615,0.723316712,0.834434866
39,5,5.8,4.4,22.4,0.206650246,0.83922619,0.528888889,0.83922619,0.793349754,0.490426065,0.811464765,0.650945415,0.630551893,0.661119321,0.660921764,0.793894362
40,4.2,4,5.2,24.2,0.142118227,0.824188527,0.446666667,0.824188527,0.857881773,0.470980392,0.839565061,0.655272727,0.610638694,0.65227422,0.661161514,0.793200602
41,5.4,4.8,4,23.4,0.169950739,0.854911248,0.571111111,0.854911248,0.830049261,0.548730159,0.840796661,0.69476341,0.684575041,0.700580186,0.700129016,0.821423098
