Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
10,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
11,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
12,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
13,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
14,0.4,1.8,9,26.4,0.064285714,0.745755518,0.044444444,0.745755518,0.935714286,0.055238095,0.828460471,0.441849283,0.122143138,0.490079365,0.449811895,0.5
15,8.8,26.2,0.6,2,0.929802956,0.30952381,0.937777778,0.30952381,0.070197044,0.395952633,0.114285714,0.255119174,0.153888924,0.503987411,0.392260103,0.5
16,7.8,24.8,1.6,3.4,0.878571429,0.4,0.826666667,0.4,0.121428571,0.364269254,0.176846785,0.27055802,0.207172959,0.474047619,0.39578265,0.539313082
17,8.4,25.6,1,2.6,0.907142857,0.144444444,0.9,0.144444444,0.092857143,0.383117484,0.113043478,0.248080481,0.096362411,0.496428571,0.346149721,0.527795567
18,7.8,19.4,1.6,8.8,0.689162562,0.671452991,0.833333333,0.671452991,0.310837438,0.430009121,0.421893383,0.425951252,0.440555706,0.572085386,0.527053235,0.615424193
19,4.4,13,5,15.2,0.459605911,0.764597701,0.477777778,0.764597701,0.540394089,0.311309042,0.618797634,0.465053338,0.468723911,0.509085933,0.505605844,0.537885878
20,5.6,14.8,3.8,13.4,0.525369458,0.775787742,0.604444444,0.775787742,0.474630542,0.370576091,0.572199261,0.471387676,0.504922526,0.539537493,0.532496207,0.591386152
21,7.2,18.4,2.2,9.8,0.650492611,0.851071429,0.771111111,0.851071429,0.349507389,0.413808244,0.453215216,0.43351173,0.473838692,0.56030925,0.565518221,0.562569787
22,5.6,14.8,3.8,13.4,0.523891626,0.817338217,0.608888889,0.817338217,0.476108374,0.354324499,0.575082816,0.464703657,0.484834635,0.542498632,0.539893812,0.610093049
23,5.8,14,3.6,14.2,0.494334975,0.654654378,0.617777778,0.654654378,0.505665025,0.371417798,0.535310734,0.453364266,0.395541863,0.561721401,0.522126032,0.661246579
24,7.6,20.2,1.8,8,0.71773399,0.490037594,0.806666667,0.490037594,0.28226601,0.408343799,0.356865924,0.382604861,0.336542501,0.544466338,0.464443938,0.641863711
25,6.4,11.4,3,16.8,0.403694581,0.852088745,0.682222222,0.852088745,0.596305419,0.468813922,0.699102041,0.583957981,0.633244877,0.63926382,0.622567941,0.673587849
26,6.2,6.8,3.2,21.4,0.241133005,0.868484472,0.657777778,0.868484472,0.758866995,0.560660957,0.807142332,0.683901645,0.703170679,0.708322386,0.697720579,0.806428571
27,7.2,8.2,2.2,20,0.292364532,0.915870445,0.76,0.915870445,0.707635468,0.616759393,0.754897201,0.685828297,0.697895459,0.733817734,0.74018398,0.869798851
28,8,7.8,1.4,20.4,0.277093596,0.94557971,0.848888889,0.94557971,0.722906404,0.658824972,0.794344001,0.726584487,0.763733874,0.785897646,0.773251797,0.88558566
29,5.6,6.6,3.8,21.6,0.233497537,0.85232736,0.593333333,0.85232736,0.766502463,0.514575569,0.802959221,0.658767395,0.663558506,0.679917898,0.67178177,0.785187466
30,5.2,3.4,4.2,24.8,0.12044335,0.856244253,0.548888889,0.856244253,0.87955665,0.573451745,0.866303919,0.719877832,0.690037006,0.71422277,0.727778065,0.749671593
31,6,5.2,3.4,23,0.184482759,0.873264368,0.633333333,0.873264368,0.815517241,0.575894126,0.842262079,0.709078102,0.713793065,0.724425287,0.714495463,0.794987685
32,6.8,6.8,2.6,21.4,0.24137931,0.895619658,0.72,0.895619658,0.75862069,0.592380952,0.814661265,0.703521109,0.730503827,0.739310345,0.722997316,0.795689655
33,6.4,8.2,3,20,0.291625616,0.866896086,0.68,0.866896086,0.708374384,0.546242263,0.77353665,0.659889457,0.689058563,0.694187192,0.683889857,0.792177066
34,7,6.8,2.4,21.4,0.241871921,0.902236264,0.742222222,0.902236264,0.758128079,0.606822103,0.817186587,0.712004345,0.741706697,0.750175151,0.732212298,0.81902983
35,7,5,2.4,23.2,0.178325123,0.917784163,0.733333333,0.917784163,0.821674877,0.643423037,0.85883962,0.751131329,0.760082545,0.777504105,0.77236476,0.858998358
36,5.8,6.4,3.6,21.8,0.227093596,0.861032025,0.613333333,0.861032025,0.772906404,0.533519431,0.810718587,0.672119009,0.681164189,0.693119869,0.682820067,0.771086481
37,6.6,6,2.8,22.2,0.213793103,0.888738122,0.7,0.888738122,0.786206897,0.607966106,0.828686106,0.718326106,0.735215544,0.743103448,0.733180699,0.82105364
38,5.8,7,3.6,21.2,0.249507389,0.861090394,0.611111111,0.861090394,0.750492611,0.515362319,0.795784134,0.655573226,0.664142363,0.680801861,0.674194175,0.755899015
39,4.8,5.4,4.6,22.8,0.191133005,0.833650794,0.506666667,0.833650794,0.808866995,0.486570593,0.819940066,0.65325533,0.633174772,0.657766831,0.656985869,0.779749589
40,5.6,6.6,3.8,21.6,0.234236453,0.853642654,0.588888889,0.853642654,0.765763547,0.512301967,0.802462755,0.657382361,0.66157484,0.677326218,0.668462661,0.775537767
41,6.6,5.8,2.8,22.4,0.205172414,0.889026915,0.697777778,0.889026915,0.794827586,0.606686869,0.837233355,0.721960112,0.74139468,0.746302682,0.732416617,0.801958128
