Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,5.4,0,32.2,0.142958748,1,0,1,0.857041252,0,0.913614711,0.456807356,0,0.428520626,0.464260313,0.5
2,0,5.4,0,32.2,0.142958748,1,0,1,0.857041252,0,0.913614711,0.456807356,0,0.428520626,0.464260313,0.5
3,0,0.2,0,37.4,0.005263158,1,0,1,0.994736842,0,0.997333333,0.498666667,0,0.497368421,0.498684211,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,5.2,0,32.4,0.136842105,1,0,1,0.863157895,0,0.909551857,0.454775928,0,0.431578947,0.465789474,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0.8,0,36.8,0.021052632,1,0,1,0.978947368,0,0.988888889,0.494444444,0,0.489473684,0.494736842,0.5
10,0,0.6,0,37,0.015789474,1,0,1,0.984210526,0,0.992,0.496,0,0.492105263,0.496052632,0.5
11,0,0.4,0,37.2,0.010810811,1,0,1,0.989189189,0,0.994444444,0.497222222,0,0.494594595,0.497297297,0.5
12,0,0.2,0,37.4,0.005263158,1,0,1,0.994736842,0,0.997333333,0.498666667,0,0.497368421,0.498684211,0.5
13,0,1.2,0,36.4,0.032432432,1,0,1,0.967567568,0,0.982352941,0.491176471,0,0.483783784,0.491891892,0.5
14,7.8,23.2,1.6,5,0.824137931,0.842261905,0.826666667,0.842261905,0.175862069,0.378681975,0.265910811,0.322296393,0.340278879,0.501264368,0.52287071,0.5
15,8.2,26.2,1.2,2,0.929064039,0.335555556,0.866666667,0.335555556,0.070935961,0.372212472,0.112538421,0.242375446,0.166711044,0.468801314,0.377624816,0.5
16,7.2,20.2,2.2,8,0.714285714,0.486580087,0.757777778,0.486580087,0.285714286,0.358503187,0.324813547,0.341658367,0.250825085,0.521746032,0.447995705,0.5
17,8.2,25.4,1.2,2.8,0.9,0.294505495,0.866666667,0.294505495,0.1,0.373798542,0.146620209,0.260209375,0.158556821,0.483333333,0.375117602,0.5
18,7.2,20.2,2.2,8,0.71453202,0.683333333,0.757777778,0.683333333,0.28546798,0.358148999,0.335495495,0.346822247,0.288470629,0.521622879,0.494982071,0.5
19,6.4,20.6,3,7.6,0.729310345,0.595844156,0.675555556,0.595844156,0.270689655,0.296683047,0.298835021,0.297759034,0.187642778,0.473122605,0.433254551,0.5
20,8,21,1.4,7.2,0.743349754,0.733928571,0.844444444,0.733928571,0.256650246,0.418055423,0.29437788,0.356216652,0.304531706,0.550547345,0.541635933,0.5
21,8.6,21.6,0.8,6.6,0.765270936,0.695,0.915555556,0.695,0.234729064,0.440444862,0.342380461,0.391412662,0.401350647,0.57514231,0.534244297,0.5
22,4,10,5.4,18.2,0.354187192,0.783957219,0.426666667,0.783957219,0.645812808,0.276234815,0.672584278,0.474409547,0.385449584,0.536239737,0.524823459,0.5
23,5.8,14.2,3.6,14,0.50320197,0.651850649,0.611111111,0.651850649,0.49679803,0.370186428,0.545269841,0.457728135,0.414481676,0.55395457,0.524705865,0.5
24,5.2,8.4,4.2,19.8,0.299753695,0.662063492,0.546666667,0.662063492,0.700246305,0.454093567,0.67934841,0.566720989,0.481778505,0.623456486,0.600957566,0.5
25,7.8,13,1.6,15.2,0.457881773,0.930666667,0.828888889,0.930666667,0.542118227,0.526230002,0.637715405,0.581972704,0.624492551,0.685503558,0.676705275,0.5
26,7.2,7.8,2.2,20.4,0.277832512,0.917049808,0.757777778,0.917049808,0.722167488,0.589009422,0.791617522,0.690313472,0.718530784,0.739972633,0.727005179,0.5
27,6.6,8.4,2.8,19.8,0.295073892,0.903896736,0.697777778,0.903896736,0.704926108,0.512633157,0.757394703,0.63501393,0.591747242,0.701351943,0.687381072,0.5
