Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
10,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
11,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
12,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
13,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
14,0.2,0,9.2,28.2,0,0.754275328,0.022222222,0.754275328,1,0.04,0.85983596,0.44991798,0.066666667,0.511111111,0.494124388,0.5
15,3.8,11.4,5.6,16.8,0.400246305,0.812606516,0.402222222,0.812606516,0.599753695,0.192546584,0.566933198,0.379739891,0.17903878,0.500987958,0.48987027,0.5
16,1,1.8,8.4,26.4,0.064285714,0.760664561,0.111111111,0.760664561,0.935714286,0.128205128,0.836619805,0.482412466,0.193204616,0.523412698,0.493539156,0.5
17,1,2.2,8.4,26,0.078571429,0.75675604,0.106666667,0.75675604,0.921428571,0.126007326,0.828954565,0.477480946,0.223059634,0.514047619,0.492046153,0.5
18,0.6,2,8.8,26.2,0.071428571,0.74788308,0.064444444,0.74788308,0.928571429,0.093571429,0.827621508,0.460596468,0.185709157,0.496507937,0.503558072,0.5
19,1,1.8,8.4,26.4,0.064039409,0.760292398,0.111111111,0.760292398,0.935960591,0.139935065,0.837218873,0.488576969,0.234132995,0.523535851,0.508269596,0.5
20,0.4,0.2,9,28,0.007142857,0.757209691,0.044444444,0.757209691,0.992857143,0.076363636,0.858956839,0.467660238,0.132132034,0.518650794,0.52362782,0.5
21,0.6,1,8.8,27.2,0.03546798,0.75618442,0.066666667,0.75618442,0.96453202,0.106060606,0.847524375,0.476792491,0.158522512,0.515599343,0.513512443,0.5
22,1.6,1.2,7.8,27,0.042857143,0.777253569,0.173333333,0.777253569,0.957142857,0.243982684,0.85727442,0.550628552,0.347578193,0.565238095,0.61193244,0.5
23,1.8,1.4,7.6,26.8,0.05,0.781146985,0.195555556,0.781146985,0.95,0.261538462,0.856352013,0.558945237,0.363348092,0.572777778,0.593580397,0.5
24,1.8,1.2,7.6,27,0.042857143,0.783291844,0.188888889,0.783291844,0.957142857,0.236825397,0.859951672,0.548388534,0.311567016,0.573015873,0.593580898,0.5
25,2.8,2,6.6,26.2,0.070935961,0.80239163,0.295555556,0.80239163,0.929064039,0.354699171,0.859024484,0.606861828,0.489510376,0.612309797,0.665086139,0.5
26,5.8,1.8,3.6,26.4,0.064285714,0.879583333,0.617777778,0.879583333,0.935714286,0.694090909,0.904346074,0.799218492,0.758207941,0.776746032,0.817060058,0.5
27,5.2,0.6,4.2,27.6,0.021428571,0.869637263,0.551111111,0.869637263,0.978571429,0.671536307,0.920371068,0.795953687,0.726561504,0.76484127,0.823579951,0.5
28,4.8,1.2,4.6,27,0.042610837,0.8549747,0.506666667,0.8549747,0.957389163,0.616341306,0.903076823,0.759709064,0.69242791,0.732027915,0.780948108,0.5
29,3.8,1.2,5.6,27,0.042857143,0.828981346,0.4,0.828981346,0.957142857,0.514614797,0.888053092,0.701333944,0.611155038,0.678571429,0.745459622,0.5
30,3.8,0.8,5.6,27.4,0.028571429,0.831388841,0.402222222,0.831388841,0.971428571,0.530374332,0.895477914,0.712926123,0.616624798,0.686825397,0.768640861,0.5
31,4.6,1,4.8,27.2,0.035714286,0.852274356,0.482222222,0.852274356,0.964285714,0.587257187,0.904078808,0.745667997,0.66765603,0.723253968,0.78511224,0.5
32,4.2,1.8,5.2,26.4,0.064039409,0.836004275,0.444444444,0.836004275,0.935960591,0.540711054,0.882425523,0.711568288,0.641162733,0.690202518,0.737435661,0.5
33,5.4,2,4,26.2,0.071182266,0.867392822,0.575555556,0.867392822,0.928817734,0.646732026,0.896181214,0.77145662,0.730034457,0.752186645,0.784211369,0.5
34,5.2,2.2,4.2,26,0.078571429,0.861327561,0.551111111,0.861327561,0.921428571,0.620634921,0.889091151,0.754863036,0.709413158,0.736269841,0.771634199,0.5
35,5,1.2,4.4,27,0.042857143,0.860651599,0.526666667,0.860651599,0.957142857,0.634029304,0.905636266,0.769832785,0.705780499,0.741904762,0.794448614,0.5
36,4,1.4,5.4,26.8,0.049507389,0.832855572,0.426666667,0.832855572,0.950492611,0.53982906,0.887118495,0.713473777,0.633645185,0.688579639,0.750420379,0.5
37,4.2,1.8,5.2,26.4,0.064285714,0.837788282,0.444444444,0.837788282,0.935714286,0.525300207,0.881127831,0.703214019,0.619272596,0.690079365,0.757563676,0.5
38,4,1.2,5.4,27,0.042857143,0.838337493,0.42,0.838337493,0.957142857,0.520648916,0.890491711,0.705570314,0.612783563,0.688571429,0.772139318,0.5
39,4,2,5.4,26.2,0.071428571,0.829959718,0.424444444,0.829959718,0.928571429,0.518834499,0.87458251,0.696708504,0.620167647,0.676507937,0.734077231,0.5
40,3.2,1.2,6.2,27,0.042610837,0.813771347,0.335555556,0.813771347,0.957389163,0.449348691,0.879353624,0.664351157,0.558491549,0.646472359,0.716559969,0.5
41,4,1.6,5.4,26.6,0.056896552,0.831439394,0.424444444,0.831439394,0.943103448,0.529133089,0.883452044,0.706292567,0.62897995,0.683773946,0.730163488,0.5
