Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
10,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
11,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
12,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
13,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
14,9.4,28.2,0,0,1,0,1,0,0,0.39978415,0,0.199892075,0,0.5,0.312482219,0.5
15,8,24.4,1.4,3.8,0.864285714,0.351754386,0.851111111,0.351754386,0.135714286,0.388042264,0.174476664,0.281259464,0.207747039,0.493412698,0.398921613,0.5
16,6,17.6,3.4,10.6,0.621921182,0.733638444,0.637777778,0.733638444,0.378078818,0.368863226,0.468818952,0.418841089,0.448301524,0.507928298,0.504731801,0.568084291
17,4,10,5.4,18.2,0.35320197,0.768467612,0.431111111,0.768467612,0.64679803,0.329451194,0.683676752,0.506563973,0.485738247,0.53895457,0.570923192,0.620232622
18,3.6,6.2,5.8,22,0.219458128,0.799484183,0.395555556,0.799484183,0.780541872,0.336463858,0.777383352,0.556923605,0.498249263,0.588048714,0.615110299,0.656592775
19,1.8,4,7.6,24.2,0.142610837,0.760344828,0.195555556,0.760344828,0.857389163,0.239869281,0.80436706,0.52211817,0.390696974,0.526472359,0.54915572,0.642961138
20,1.4,2.6,8,25.6,0.092364532,0.761764706,0.151111111,0.761764706,0.907635468,0.210347985,0.827920507,0.519134246,0.363727504,0.52937329,0.550127821,0.578847838
21,4.4,4.4,5,23.8,0.157142857,0.826858238,0.466666667,0.826858238,0.842857143,0.477832106,0.832116258,0.654974182,0.615126689,0.654761905,0.682303554,0.692624521
22,4.8,5,4.6,23.2,0.177339901,0.839659191,0.515555556,0.839659191,0.822660099,0.490818713,0.82739306,0.659105887,0.638994847,0.669107827,0.670529317,0.771469622
23,5.8,6.4,3.6,21.8,0.226847291,0.862594802,0.622222222,0.862594802,0.773152709,0.534240384,0.81251469,0.673377537,0.686993153,0.697687466,0.684978544,0.758814997
24,3.8,3,5.6,25.2,0.107142857,0.827305844,0.408888889,0.827305844,0.892857143,0.407372356,0.852735352,0.630053854,0.512033646,0.650873016,0.650596302,0.69971538
25,3.6,3.6,5.8,24.6,0.128571429,0.80919289,0.384444444,0.80919289,0.871428571,0.430602731,0.832424501,0.631513616,0.556986485,0.627936508,0.694618749,0.731294472
26,5.8,4,3.6,24.2,0.142364532,0.875065308,0.615555556,0.875065308,0.857635468,0.599313725,0.861718546,0.730516136,0.716021754,0.736595512,0.745218845,0.833013136
27,5.8,2.6,3.6,25.6,0.091871921,0.878950022,0.617777778,0.878950022,0.908128079,0.652063492,0.890745381,0.771404436,0.74197978,0.762952928,0.790355384,0.897536946
28,4.4,2.6,5,25.6,0.091871921,0.839576492,0.468888889,0.839576492,0.908128079,0.520952381,0.870270936,0.695611658,0.637740065,0.688508484,0.729148365,0.820251779
29,5,1.6,4.4,26.6,0.056650246,0.858993705,0.533333333,0.858993705,0.943349754,0.622982456,0.898794701,0.760888579,0.705992072,0.738341544,0.775109674,0.865842912
30,3.8,1.4,5.6,26.8,0.049507389,0.827701829,0.402222222,0.827701829,0.950492611,0.514157509,0.884748938,0.699453224,0.61347053,0.676357417,0.725104165,0.754047619
31,5.2,2.2,4.2,26,0.077586207,0.862115644,0.551111111,0.862115644,0.922413793,0.614509804,0.890745083,0.752627443,0.707942321,0.736762452,0.761172042,0.826746032
32,5.2,1.2,4.2,27,0.042364532,0.869656938,0.557777778,0.869656938,0.957635468,0.636111111,0.90997203,0.77304157,0.713950805,0.757706623,0.806287387,0.881143952
33,5.6,1.6,3.8,26.6,0.057142857,0.874789334,0.595555556,0.874789334,0.942857143,0.677647059,0.906844556,0.792245808,0.747909594,0.769206349,0.806078286,0.869050356
34,5.4,2,4,26.2,0.070935961,0.868843813,0.575555556,0.868843813,0.929064039,0.638124724,0.897029342,0.767577033,0.727022066,0.752309797,0.782254741,0.875117679
35,5.6,2.2,3.8,26,0.078325123,0.873200863,0.593333333,0.873200863,0.921674877,0.64727505,0.896152149,0.7717136,0.736703698,0.757504105,0.779909411,0.871611932
36,4.2,0.8,5.2,27.4,0.028325123,0.840842246,0.448888889,0.840842246,0.971674877,0.582857143,0.901300899,0.742079021,0.659042834,0.710281883,0.77701817,0.847928298
37,4.4,1.6,5,26.6,0.056896552,0.848231285,0.466666667,0.848231285,0.943103448,0.534250064,0.890233918,0.712241991,0.635989457,0.704885057,0.758667017,0.847074439
38,3.2,2.2,6.2,26,0.078325123,0.814623656,0.335555556,0.814623656,0.921674877,0.386060606,0.860250072,0.623155339,0.516701854,0.628615216,0.679868284,0.819745484
39,4.4,1.6,5,26.6,0.057142857,0.846307932,0.46,0.846307932,0.942857143,0.546445221,0.888184711,0.717314966,0.638441588,0.701428571,0.770029364,0.830027367
40,3.2,1.8,6.2,26.4,0.064039409,0.81240861,0.333333333,0.81240861,0.935960591,0.404935065,0.867679793,0.636307429,0.5254438,0.634646962,0.696031694,0.815177887
41,4.6,2.2,4.8,26,0.078078818,0.845532747,0.493333333,0.845532747,0.921921182,0.562287582,0.881654866,0.721971224,0.666223763,0.707627258,0.731803958,0.827728517
