Day,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC
1,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
2,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
3,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
4,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
5,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
6,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
7,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
8,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
9,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
10,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
11,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
12,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
13,0,0,0,37.6,0,1,0,1,1,0,1,0.5,0,0.5,0.5,0.5
14,1.4,3.6,8,24.6,0.128078818,0.753120091,0.146666667,0.753120091,0.871921182,0.165899403,0.802727075,0.484313239,0.260480609,0.509293924,0.517926985,0.5
15,1.6,1.6,7.8,26.6,0.057142857,0.77502451,0.173333333,0.77502451,0.942857143,0.221428571,0.849193923,0.535311247,0.302569221,0.558095238,0.552089461,0.5
16,2,1.4,7.4,26.8,0.05,0.787134725,0.217777778,0.787134725,0.95,0.26547619,0.859141322,0.562308756,0.339478668,0.583888889,0.576823364,0.550957854
17,2.4,2.6,7,25.6,0.092857143,0.792945893,0.262222222,0.792945893,0.907142857,0.26819321,0.840229757,0.554211483,0.388288194,0.58468254,0.610577743,0.577323481
18,1.4,2.6,8,25.6,0.092857143,0.762433862,0.151111111,0.762433862,0.907142857,0.178643725,0.825231656,0.501937691,0.274417411,0.529126984,0.519933862,0.523899836
19,1.2,3.4,8.2,24.8,0.121428571,0.75047883,0.128888889,0.75047883,0.878571429,0.158681319,0.806947518,0.482814418,0.28803853,0.503730159,0.498575696,0.511165846
20,0.6,1.4,8.8,26.8,0.05,0.753075489,0.064444444,0.753075489,0.95,0.080392157,0.838274955,0.459333556,0.14567699,0.507222222,0.479379983,0.459206349
21,5,11.4,4.4,16.8,0.404433498,0.628317659,0.524444444,0.628317659,0.595566502,0.404333157,0.605859123,0.50509614,0.436537407,0.560005473,0.54494126,0.559789272
22,4.8,8.4,4.6,19.8,0.297783251,0.807541411,0.506666667,0.807541411,0.702216749,0.433005697,0.747848219,0.590426958,0.591976824,0.604441708,0.60153142,0.621409414
23,5.2,9.4,4.2,18.8,0.333251232,0.820301678,0.557777778,0.820301678,0.666748768,0.428456037,0.730682261,0.579569149,0.593943026,0.612263273,0.600364565,0.696376574
24,4.6,7.8,4.8,20.4,0.277339901,0.816638073,0.491111111,0.816638073,0.722660099,0.402886236,0.761789011,0.582337624,0.568865034,0.606885605,0.596200419,0.6692474
25,6.8,10.4,2.6,17.8,0.369950739,0.868635531,0.72,0.868635531,0.630049261,0.519612162,0.718927518,0.61926984,0.660390249,0.675024631,0.659255555,0.764904215
26,8,6.6,1.4,21.6,0.233990148,0.939246377,0.848888889,0.939246377,0.766009852,0.667701863,0.842758047,0.755229955,0.804864843,0.807449371,0.776723093,0.869036672
27,8,8.6,1.4,19.6,0.305665025,0.926399267,0.853333333,0.926399267,0.694334975,0.643517886,0.77046307,0.706990478,0.752358041,0.773834154,0.752370329,0.82392994
28,6.8,4.8,2.6,23.4,0.170197044,0.904686869,0.726666667,0.904686869,0.829802956,0.641636142,0.863576141,0.752606141,0.767455242,0.778234811,0.761595941,0.832534209
29,6.2,5,3.2,23.2,0.177832512,0.883212047,0.653333333,0.883212047,0.822167488,0.594060667,0.846708774,0.720384721,0.716422001,0.737750411,0.732835897,0.819452655
30,6.4,9.4,3,18.8,0.328571429,0.689412025,0.684444444,0.689412025,0.671428571,0.548877385,0.678981494,0.61392944,0.566581493,0.677936508,0.641318127,0.738492063
31,6.4,5,3,23.2,0.177093596,0.884381359,0.68,0.884381359,0.822906404,0.621717172,0.852014652,0.736865912,0.746630168,0.751453202,0.740887597,0.833932677
32,6.4,8.8,3,19.4,0.313300493,0.692645503,0.684444444,0.692645503,0.686699507,0.557458865,0.689294396,0.62337663,0.576418431,0.685571976,0.647882253,0.73785988
33,7.2,4.4,2.2,23.8,0.156157635,0.917847922,0.766666667,0.917847922,0.843842365,0.693277311,0.87497328,0.784125295,0.798610125,0.805254516,0.796672572,0.852739464
34,6.4,4.4,3,23.8,0.156403941,0.886836439,0.68,0.886836439,0.843596059,0.640122044,0.862942427,0.751532236,0.755525257,0.76179803,0.757067831,0.849622332
35,6.4,4.6,3,23.6,0.163546798,0.888838384,0.675555556,0.888838384,0.836453202,0.625980392,0.859050063,0.742515227,0.746200102,0.756004379,0.75113711,0.842780515
36,6,3.2,3.4,25,0.113793103,0.882327071,0.631111111,0.882327071,0.886206897,0.639912281,0.882430065,0.761171173,0.741619976,0.758659004,0.768323968,0.850429666
37,6,4,3.4,24.2,0.142364532,0.877656293,0.635555556,0.877656293,0.857635468,0.623902516,0.864503254,0.744202885,0.733661025,0.746595512,0.752939102,0.837731253
38,5.8,4.8,3.6,23.4,0.171182266,0.868982684,0.615555556,0.868982684,0.828817734,0.588700111,0.842489321,0.715594716,0.703196277,0.722186645,0.739682858,0.814477285
39,6.8,7.4,2.6,20.8,0.260837438,0.901363636,0.724444444,0.901363636,0.739162562,0.580225753,0.797836667,0.68903121,0.710079992,0.731803503,0.73276974,0.765922277
40,5,5.2,4.4,23,0.183990148,0.840295704,0.531111111,0.840295704,0.816009852,0.508355123,0.825347074,0.666851099,0.650708931,0.673560482,0.679389132,0.784474548
41,4.6,5,4.8,23.2,0.177339901,0.828398268,0.488888889,0.828398268,0.822660099,0.484688645,0.823576992,0.654132818,0.627604791,0.655774494,0.664608026,0.743136289
