WaterLeft,SPAD,Size,3rd_temp,class
197.2933516,45.6,12912,2735.860064,1
198.012672,45.6,15497,2845.174748,1
193.8238583,46.51428571,16049,2779.320071,1
193.2248277,47.42857143,19217,2777.740499,1
190.0737977,48.34285714,22846,2763.350325,1
193.7936839,49.25714286,15877,2714.480712,1
190.3718578,50.17142857,16627,2799.514776,1
193.6458736,51.08571429,13779,2844.147346,1
188.2592124,52,13413,2852.058644,1
188.2993099,51.46666667,13264,2752.961149,1
183.6450829,50.93333333,21223,2848.129153,1
191.2361204,50.4,19696,2822.030566,1
190.8267549,49.86666667,13398,2754.602309,1
183.252066,49.33333333,20543,2791.023482,1
187.161272,48.8,17541,2799,1
185.1320385,47.23333333,21962,2814.602694,1
191.9962043,45.66666667,16809,2830.205388,1
186.9347102,44.1,22753,2888.737444,1
192.7794092,42.53333333,11004,2834.647549,1
187.4691441,40.96666667,17563,2829.321029,1
193.5815367,39.4,17154,2911.874948,1
185.1959498,41.98333333,16883,2798.374893,1
190.8072502,44.56666667,16311,2823.320132,1
192.7198872,47.15,23344,2803.192806,1
188.693545,49.73333333,21111,2775.583164,1
192.9654986,52.31666667,15755,2823.963896,1
187.6332619,54.9,20158,2847.94106,1
181.0273793,54.9,21944,2760.372017,1
191.8482846,54.9,25598,2779.211167,1
189.7247409,54.9,15863,2809.016272,1
147.109253,47.2,18667,3148.947602,1
146.4083889,47.2,13211,3208.980044,1
148.4167968,48.71428571,16808,3245.377103,1
144.9976203,50.22857143,13431,2900.142934,1
148.9090294,51.74285714,18876,2754.200711,1
146.186766,53.25714286,15454,2785.947553,1
149.8089209,54.77142857,14524,2828.266388,1
145.5009164,56.28571429,13162,2873.46731,1
148.3582222,57.8,17425,2768.449314,1
149.7277575,56.81666667,18461,2787.902291,1
149.3879217,55.83333333,13996,2791.289673,1
151.8491061,54.85,25636,2847.510785,1
150.4249492,53.86666667,18744,2795.810821,1
146.2675151,52.88333333,17611,2744.486156,1
151.0530541,51.9,13530,2882.474476,1
146.7720152,51.63333333,12377,2805.776599,1
150.3992432,51.36666667,20220,2764.212057,1
145.2229709,51.1,19892,2787.571864,1
150.6957091,50.83333333,19575,2755.758024,1
152.4730933,50.56666667,15073,2793.603485,1
144.4397909,50.3,13618,2756.806582,1
147.1566841,50.41666667,24370,2796.826653,1
147.277192,50.53333333,15342,2805.73873,1
152.5775396,50.65,27584,2821.587502,1
147.3315259,50.76666667,19843,2992.742092,1
145.2713049,50.88333333,18461,2824.743818,1
150.3728807,51,18869,2809.208546,1
149.9972401,51,18544,3220.419996,1
148.4398579,51,12214,2845.624888,1
150.6028472,51,18677,2736.193384,1
99.11502785,42.3,21447,2732.614026,1
97.61371396,42.3,14878,2768.180115,1
102.8414222,44.07142857,16569,2800.070104,1
101.1559734,45.84285714,13141,2798.055787,1
100.4831886,47.61428571,23700,2760.850685,1
95.75281235,49.38571429,17757,2810.420699,1
94.23076083,51.15714286,17243,2826.926626,1
96.92911228,52.92857143,18945,2794.193763,1
86.35129796,54.7,24991,2797.973794,1
101.909127,54.2,15575,2775.552903,1
100.3635325,53.7,20583,2809.017138,1
99.32899433,53.2,23155,2739.191689,1
101.7599945,52.7,22511,2706.939081,1
101.6388824,52.2,23948,2701.761533,1
104.2948311,51.7,12410,2737.575758,1
105.5120941,52.03333333,17619,2732.717453,1
105.260084,52.36666667,17525,2696.807523,1
102.2933285,52.7,23055,2657.471198,1
