Treatment,AvgTemp,WaterLeft,EcLeft,WeightedSpad,new_leaf,Size_temp,Avg_temp,Max_temp
A,37,,,45.6,0,12912,2806.451518,3463
A,37,,,45.6,0,15497,2896.29296,3462
A,37,,,46.51428571,0,16049,2901.586267,3606
A,37,,,47.42857143,0,19217,2896.21736,3619
A,37,,,48.34285714,0,22846,2832.006828,3707
A,37,,,49.25714286,0,15877,2850.228696,3572
A,37,,,50.17142857,0,16627,2904.354604,3702
A,37,,,51.08571429,0,13779,2933.415923,3586
A,37,,,52,0,13413,2925.066801,3769
A,37,,,51.46666667,0,13264,2897.141134,3764
A,37,,,50.93333333,0,21223,2873.570513,3928
A,37,,,50.4,0,19696,2866.088901,3659
A,37,,,49.86666667,0,13398,2871.476638,3679
A,37,,,49.33333333,0,20543,2894.509517,3960
A,37,,,48.8,0,17541,2896.530642,3825
A,37,,,47.23333333,0,21962,2941.941535,3922
A,37,,,45.66666667,0,16809,2971.838539,3697
A,37,,,44.1,0,22753,2972.375511,3890
A,37,,,42.53333333,0,11004,2957.688113,3689
A,37,,,40.96666667,0,17563,2929.390195,3883
A,37,,,39.4,0,17154,2937.49557,3679
A,37,,,41.98333333,0,16883,2913.52236,3952
A,37,,,44.56666667,0,16311,2932.207713,3737
A,37,,,47.15,0,23344,2909.823167,3643
A,37,,,49.73333333,0,21111,2902.919,3765
A,37,,,52.31666667,0,15755,2962.928848,3609
A,37,,,54.9,0,20158,2920.235589,3768
A,37,,,54.9,0,21944,2876.886848,3992
A,37,,,54.9,0,25598,2892.20361,3610
A,37,,,54.9,0,15863,2934.045641,3697
B,37,,,47.2,0,18667,3143.885895,3669
B,37,,,47.2,0,13211,3272.146393,3729
B,37,,,48.71428571,0,16808,3327.625297,3661
B,37,,,50.22857143,0,13431,2924.66421,3661
B,37,,,51.74285714,0,18876,2833.682242,3485
B,37,,,53.25714286,0,15454,2857.446875,3577
B,37,,,54.77142857,0,14524,2890.05033,3445
B,37,,,56.28571429,0,13162,2922.334752,3596
B,37,,,57.8,0,17425,2847.424907,3462
B,37,,,56.81666667,0,18461,2834.032663,3417
B,37,,,55.83333333,0,13996,2843.017505,3439
B,37,,,54.85,0,25636,2839.401584,3358
B,37,,,53.86666667,0,18744,2838.73997,3416
B,37,,,52.88333333,0,17611,2824.443302,3568
B,37,,,51.9,0,13530,2833.283962,3407
B,37,,,51.63333333,0,12377,2855.775875,3568
B,37,,,51.36666667,0,20220,2823.755737,3432
B,37,,,51.1,0,19892,2871.870802,3632
B,37,,,50.83333333,0,19575,2865.803729,3437
B,37,,,50.56666667,0,15073,2875.052345,3378
B,37,,,50.3,0,13618,2868.541122,3665
B,37,,,50.41666667,0,24370,2885.287444,3572
B,37,,,50.53333333,0,15342,2890.563225,3568
B,37,,,50.65,1,27584,2925.12732,3455
B,37,,,50.76666667,0,19843,2900.0637,3567
B,37,,,50.88333333,0,18461,2894.162613,3638
B,37,,,51,0,18869,2868.619429,3448
B,37,,,51,0,18544,3305.270546,3581
B,37,,,51,0,12214,2924.029474,3532
B,37,,,51,0,18677,2810.988649,3424
C,37,,,42.3,0,21447,2790.819695,3591
C,37,,,42.3,0,14878,2811.214209,3650
C,37,,,44.07142857,1,16569,2821.576559,3520
C,37,,,45.84285714,0,13141,2853.695305,3508
C,37,,,47.61428571,0,23700,2850.980591,3518
C,37,,,49.38571429,0,17757,2876.027426,3680
C,37,,,51.15714286,0,17243,2855.014267,3715
C,37,,,52.92857143,0,18945,2854.458221,3605
C,37,,,54.7,0,24991,2875.563803,3975
C,37,,,54.2,0,15575,2849.390754,3416
C,37,,,53.7,0,20583,2834.261672,3471
C,37,,,53.2,0,23155,2805.666292,3504
C,37,,,52.7,0,22511,2787.313313,3416
C,37,,,52.2,0,23948,2761.05395,3417
C,37,,,51.7,1,12410,2815.815633,3408
C,37,,,52.03333333,0,17619,2779.9244,3285
C,37,,,52.36666667,0,17525,2738.153153,3280
C,37,,,52.7,0,23055,2750.893125,3387
C,37,,,53.03333333,1,21004,2819.272996,3358
C,37,,,53.36666667,0,20471,2796.598114,3748
C,37,,,53.7,1,15989,2799.642567,3576
C,37,,,52.78333333,1,13955,2795.048441,3353
C,37,,,51.86666667,0,22861,2791.054503,3404
