Treatment,Num,Date,mean_3rd_lower,,,,,,,
A,1,1,2735.860064,,,,,,,
A,2,1,2845.174748,,,,,,,
A,3,1,2779.320071,,,,,,,
A,4,1,2777.740499,,,,,,,
A,5,1,2763.350325,,,,,,,
A,6,1,2714.480712,,,,,,,
A,7,1,2799.514776,,,,,,,
A,8,1,2844.147346,,,,,,,
A,9,1,2852.058644,,,,,,,
A,10,1,2752.961149,,,,,,,
A,11,1,2848.129153,,,,,,,
A,12,1,2822.030566,,,,,,,
A,13,1,2754.602309,,,,,,,
A,14,1,2791.023482,,,,,,,
A,15,1,2799,,,,,,,
A,16,1,2814.602694,,,,,,,
A,17,1,2830.205388,,,,,,,
A,18,1,2888.737444,,,,,,,
A,19,1,2834.647549,,,,,,,
A,20,1,2829.321029,,,,,,,
A,21,1,2911.874948,,,,,,,
A,22,1,2798.374893,,,,,,,
A,23,1,2823.320132,,,,,,,
A,24,1,2803.192806,,,,,,,
A,25,1,2775.583164,,,,,,,
A,26,1,2823.963896,,,,,,,
A,27,1,2847.94106,,,,,,,
A,28,1,2760.372017,,,,,,,
A,29,1,2779.211167,,,,,,,
A,30,1,2809.016272,,,,,,,
B,1,1,3148.947602,,,,,,,
B,2,1,3208.980044,,,,,,,
B,3,1,3245.377103,,,,,,,
B,4,1,2900.142934,,,,,,,
B,5,1,2754.200711,,,,,,,
B,6,1,2785.947553,,,,,,,
B,7,1,2828.266388,,,,,,,
B,8,1,2873.46731,,,,,,,
B,9,1,2768.449314,,,,,,,
B,10,1,2787.902291,,,,,,,
B,11,1,2791.289673,,,,,,,
B,12,1,2847.510785,,,,,,,
B,13,1,2795.810821,,,,,,,
B,14,1,2744.486156,,,,,,,
B,15,1,2882.474476,,,,,,,
B,16,1,2805.776599,,,,,,,
B,17,1,2764.212057,,,,,,,
B,18,1,2787.571864,,,,,,,
B,19,1,2755.758024,,,,,,,
B,20,1,2793.603485,,,,,,,
B,21,1,2756.806582,,,,,,,
B,22,1,2796.826653,,,,,,,
B,23,1,2805.73873,,,,,,,
B,24,1,2821.587502,,,,,,,
B,25,1,2992.742092,,,,,,,
B,26,1,2824.743818,,,,,,,
B,27,1,2809.208546,,,,,,,
B,28,1,3220.419996,,,,,,,
B,29,1,2845.624888,,,,,,,
B,30,1,2736.193384,,,,,,,
C,1,1,2732.614026,,,,,,,
C,2,1,2768.180115,,,,,,,
C,3,1,2800.070104,,,,,,,
C,4,1,2798.055787,,,,,,,
C,5,1,2760.850685,,,,,,,
C,6,1,2810.420699,,,,,,,
C,7,1,2826.926626,,,,,,,
C,8,1,2794.193763,,,,,,,
C,9,1,2797.973794,,,,,,,
C,10,1,2775.552903,,,,,,,
C,11,1,2809.017138,,,,,,,
C,12,1,2739.191689,,,,,,,
C,13,1,2706.939081,,,,,,,
C,14,1,2701.761533,,,,,,,
C,15,1,2737.575758,,,,,,,
C,16,1,2732.717453,,,,,,,
C,17,1,2696.807523,,,,,,,
C,18,1,2657.471198,,,,,,,
C,19,1,2753.488653,,,,,,,
C,20,1,2718.820038,,,,,,,
C,21,1,2762.960863,,,,,,,
C,22,1,2762.118496,,,,,,,
C,23,1,2725.047619,,,,,,,
C,24,1,2733.341204,,,,,,,
C,25,1,2690.876919,,,,,,,
C,26,1,2806.302507,,,,,,,
C,27,1,2803.830648,,,,,,,
C,28,1,2776.86852,,,,,,,
C,29,1,2723.891069,,,,,,,
C,30,1,2718.32514,,,,,,,
D,1,1,2980.401236,,,,,,,
D,2,1,2972.285778,,,,,,,
D,3,1,2892.735961,,,,,,,
D,4,1,2876.455967,,,,,,,
D,5,1,2927.846168,,,,,,,
D,6,1,2868.9649,,,,,,,
D,7,1,2882.465449,,,,,,,
D,8,1,2882.058053,,,,,,,
D,9,1,2922.15812,,,,,,,
D,10,1,2871.564409,,,,,,,
D,11,1,2866.885111,,,,,,,
D,12,1,2841.519531,,,,,,,
D,13,1,2805.997498,,,,,,,
D,14,1,2851.051502,,,,,,,
D,15,1,2818.40445,,,,,,,
D,16,1,2807.826906,,,,,,,
D,17,1,2785.978254,,,,,,,
D,18,1,2814.144497,,,,,,,
D,19,1,2780.731828,,,,,,,
D,20,1,2781.594033,,,,,,,
D,21,1,2726.678781,,,,,,,
D,22,1,2721.927902,,,,,,,
D,23,1,2763.95552,,,,,,,
D,24,1,2808.231657,,,,,,,
D,25,1,2808.582295,,,,,,,
D,26,1,2795.354438,,,,,,,
D,27,1,2806.913773,,,,,,,
D,28,1,2784.069708,,,,,,,
D,29,1,2735.088691,,,,,,,
D,30,1,2763.378114,,,,,,,
A,1,2,2859.285044,,,,,,,
A,2,2,2752.164789,,,,,,,
A,3,2,2823.612361,,,,,,,
A,4,2,2712.243363,,,,,,,
A,5,2,2714.572578,,,,,,,
A,6,2,2739.25894,,,,,,,
A,7,2,2783.218879,,,,,,,
A,8,2,2779.359346,,,,,,,
A,9,2,2755.579561,,,,,,,
A,10,2,2791.203281,,,,,,,
A,11,2,2773.927929,,,,,,,
A,12,2,2815.152241,,,,,,,
A,13,2,2773.487767,,,,,,,
A,14,2,2972.871918,,,,,,,
A,15,2,2774.375981,,,,,,,
