Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,0.16,0.28,0.19,0.54,0.04,0.07,0.283333333
2,0.25,0.33,0.25,0.6,0.11,0.15,0.333333333
3,0.16,0.32,0.2,0.62,0.1,0.14,0.325
4,0.22,0.26,0.2,0.37,0.01,0.01,0.258333333
5,0.6,0.62,0.56,0.92,0.5,0.53,0.625
6,0.62,0.75,0.67,0.83,0.67,0.73,0.75
7,0.79,0.79,0.76,0.98,0.72,0.74,0.791666667
8,0.46,0.57,0.51,0.75,0.43,0.45,0.575
9,0.4,0.49,0.38,0.71,0.32,0.42,0.491666667
10,0.85,0.82,0.77,1,0.76,0.78,0.816666667
11,1,1,1,1,1,1,1
12,0.97,0.97,0.97,1,0.96,0.96,0.966666667
13,0.86,0.82,0.79,1,0.77,0.79,0.825
14,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1
17,0.83,0.78,0.71,1,0.71,0.74,0.783333333
