Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,0.06,0.25,0.1,0.5,0,0,0.25
2,0.06,0.25,0.1,0.5,0,0,0.25
3,0.53,0.57,0.48,0.72,0.43,0.49,0.57
4,0.06,0.25,0.1,0.58,0,0,0.25
5,0.8,0.66,0.59,0.88,0.54,0.6,0.66
6,0.74,0.7,0.64,0.94,0.6,0.67,0.7
7,0.89,0.88,0.86,0.93,0.83,0.85,0.88
8,0.82,0.73,0.66,0.87,0.64,0.68,0.73
9,0.98,0.98,0.97,0.99,0.97,0.97,0.98
10,0.99,0.99,0.99,1,0.99,0.99,0.99
11,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1
13,0.62,0.75,0.67,0.9,0.67,0.73,0.75
14,0.98,0.98,0.98,0.99,0.97,0.97,0.98
15,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1
