Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,0.06,0.25,0.1,0.5,0,0,0.25
2,0.06,0.25,0.1,0.5,0,0,0.25
3,0.06,0.25,0.1,0.5,0,0,0.25
4,0.33,0.5,0.38,0.5,0.33,0.47,0.5
5,0.06,0.25,0.1,0.5,0,0,0.25
6,0.06,0.25,0.1,0.5,0,0,0.25
7,0.62,0.75,0.67,0.5,0.67,0.73,0.75
8,0.34,0.47,0.39,0.5,0.29,0.31,0.47
9,0.33,0.5,0.38,0.5,0.33,0.47,0.5
10,0.98,0.98,0.98,0.5,0.98,0.98,0.98
11,1,1,1,0.5,1,1,1
12,1,1,1,0.5,1,1,1
13,0.6,0.72,0.64,0.5,0.63,0.69,0.72
14,1,1,1,0.5,1,1,1
15,0.94,0.92,0.91,0.5,0.89,0.9,0.92
16,0.9,0.82,0.8,0.5,0.77,0.8,0.82
17,0.98,0.98,0.97,0.5,0.97,0.97,0.98
