Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,0.06,0.25,0.1,0.5,0,0,0.25
2,0.06,0.25,0.1,0.5,0,0,0.25
3,0.77,0.67,0.62,0.5,0.56,0.59,0.67
4,0.13,0.3,0.18,0.5,0.07,0.08,0.3
5,0.58,0.69,0.61,0.5,0.59,0.65,0.69
6,0.84,0.58,0.53,0.5,0.44,0.55,0.58
7,0.83,0.8,0.78,0.5,0.73,0.75,0.8
8,0.38,0.47,0.4,0.5,0.29,0.31,0.47
9,0.67,0.68,0.64,0.5,0.57,0.6,0.68
10,0.89,0.81,0.78,0.5,0.74,0.78,0.81
11,0.88,0.78,0.72,0.5,0.7,0.75,0.78
12,0.98,0.98,0.98,0.5,0.98,0.98,0.98
13,0.62,0.75,0.67,0.5,0.67,0.73,0.75
14,1,1,1,0.5,1,1,1
15,1,1,1,0.5,1,1,1
16,0.95,0.93,0.93,0.5,0.91,0.92,0.93
17,1,1,1,0.5,1,1,1
