Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,0.06,0.25,0.1,0.5,0,0,0.25
2,0.06,0.25,0.1,0.5,0,0,0.25
3,0.61,0.34,0.3,0.63,0.12,0.14,0.34
4,0.29,0.4,0.3,0.74,0.2,0.25,0.4
5,0.39,0.47,0.41,0.73,0.29,0.3,0.47
6,0.42,0.44,0.4,0.67,0.26,0.28,0.44
7,0.8,0.76,0.75,0.95,0.68,0.7,0.76
8,0.47,0.55,0.46,0.73,0.4,0.45,0.55
9,0.84,0.82,0.82,0.97,0.77,0.77,0.82
10,0.97,0.97,0.97,1,0.96,0.96,0.97
11,1,1,1,1,1,1,1
12,0.99,0.99,0.99,1,0.99,0.99,0.99
13,0.78,0.68,0.64,0.92,0.58,0.62,0.68
14,0.96,0.96,0.96,0.99,0.94,0.95,0.96
15,0.95,0.93,0.93,0.99,0.91,0.92,0.93
16,1,1,1,1,1,1,1
17,0.96,0.95,0.95,1,0.93,0.94,0.95
