Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,0.06,0.25,0.1,0.5,0,0,0.25
2,0.06,0.25,0.1,0.5,0,0,0.25
3,0.62,0.63,0.59,0.94,0.51,0.55,0.63
4,0.33,0.5,0.38,0.67,0.33,0.47,0.5
5,0.25,0.5,0.33,0.86,0.33,0.41,0.5
6,0.62,0.75,0.67,1,0.67,0.73,0.75
7,1,1,1,1,1,1,1
8,0.38,0.5,0.42,0.83,0.33,0.37,0.5
9,1,1,1,1,1,1,1
10,0.62,0.75,0.67,1,0.67,0.73,0.75
11,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1
13,0.62,0.75,0.67,1,0.67,0.73,0.75
14,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1
