Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,0.06,0.25,0.1,0.5,0,0,0.25
2,0.06,0.25,0.1,0.5,0,0,0.25
3,0.27,0.4,0.29,0.5,0.2,0.31,0.4
4,0.21,0.32,0.23,0.5,0.1,0.12,0.32
5,0.12,0.25,0.16,0.5,0,0,0.25
6,0.25,0.37,0.29,0.5,0.16,0.17,0.37
7,0.84,0.82,0.82,0.5,0.77,0.78,0.82
8,0.47,0.55,0.46,0.5,0.4,0.44,0.55
9,0.82,0.71,0.66,0.5,0.61,0.66,0.71
10,0.91,0.89,0.89,0.5,0.86,0.86,0.89
11,0.98,0.98,0.98,0.5,0.98,0.98,0.98
12,0.99,0.99,0.99,0.5,0.99,0.99,0.99
13,0.77,0.66,0.6,0.5,0.54,0.59,0.66
14,0.94,0.93,0.93,0.5,0.91,0.92,0.93
15,0.91,0.91,0.91,0.5,0.88,0.88,0.91
16,0.98,0.98,0.98,0.5,0.98,0.98,0.98
17,0.94,0.92,0.92,0.5,0.9,0.91,0.92
