Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,0.06,0.25,0.1,0.5,0,0,0.25
2,0.06,0.25,0.1,0.5,0,0,0.25
3,0.57,0.52,0.42,0.66,0.36,0.39,0.52
4,0.33,0.5,0.38,0.77,0.33,0.47,0.5
5,0.25,0.5,0.33,0.64,0.33,0.41,0.5
6,0.62,0.74,0.66,0.72,0.66,0.71,0.74
7,0.97,0.97,0.97,1,0.96,0.96,0.97
8,0.62,0.75,0.67,0.83,0.67,0.73,0.75
9,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1
13,0.25,0.5,0.33,0.83,0.33,0.41,0.5
14,1,1,1,1,1,1,1
15,1,1,1,1,1,1,1
16,1,1,1,1,1,1,1
17,1,1,1,1,1,1,1
