Time_Step,W_Precision,W_Recall,W_F1,W_AUC,Kappa,Matthews,Multiclass Accuracy
1,0.06,0.25,0.1,0.5,0,0,0.25
2,0.06,0.25,0.1,0.5,0,0,0.25
3,0.52,0.57,0.46,0.85,0.42,0.49,0.57
4,0.22,0.38,0.28,0.6,0.18,0.23,0.38
5,0.12,0.25,0.17,0.67,0,0,0.25
6,0,0,0,0.63,-0.33,-0.41,0
7,0.88,0.76,0.68,0.83,0.68,0.74,0.76
8,0.25,0.5,0.33,0.67,0.33,0.41,0.5
9,0.33,0.5,0.38,0.67,0.33,0.47,0.5
10,0.06,0.25,0.1,0.5,0,0,0.25
11,1,1,1,0.83,1,1,1
12,0.06,0.25,0.1,0.5,0,0,0.25
13,0.33,0.5,0.38,0.67,0.33,0.47,0.5
14,1,1,1,1,1,1,1
15,0.25,0.5,0.33,0.67,0.33,0.41,0.5
16,0.62,0.75,0.67,0.83,0.67,0.73,0.75
17,0.62,0.75,0.67,0.83,0.67,0.73,0.75
